,text,length,date,type,index in posts,is_unique
0,"звезды уготовили вам сегодня непростой и насыщенный день, так что не надейтесь, что сможете просто дождаться вечера, когда можно будет уйти домой. сегодня возможны конфликты с начальником, но старайтесь уже научиться переносить их с долей философского подхода, ведь вы всегда найдете компромисс.",295,11 декабря,business,0,True
1,"сегодня вашему любимому человеку будет непонятно, почему вы продолжаете так близко с ним общаться. он искренне будет верить в то, что в нем нет ничего особенного и заслуживающего столь пристального внимания такого потрясающего человека, как вы. постарайтесь его успокоить.",272,11 декабря,love,0,True
2,"ваша честность обезоруживает. более того, она смущает людей и ставит их в неловкое положение. подуэтот месяцте, действительно ли вы хотите достичь именно этого эффекта.",161,11 декабря,simple,0,True
3,сегодня работа для вас окажется лучше любого отдыха: вы будете выполнять ее с огромным удовольствием и желанием продолжать в том же духе как можно дольше. постарайтесь однако не увлекаться: ваши друзья и близкие наверняка тоже жаждут вашего внимания и могут даже обидеться из-за его недостатка.,294,10 декабря,business,1,True
4,"сегодня сбудутся все ваши самые смелые мечты и желания, стоит только поверить в это и очень захотеть подобного исхода событий. поэтому звезды рекомендуют пожелать что-нибудь хорошее в области личной жизни, то есть для себя и вашего любимого человека. и ждать, когда звезда упадет на ладошку.",291,10 декабря,love,1,True
5,"эгоизм сегодня вам противопоказан, даже в минимальных размерах. впрочем, вам не привыкать целиком и полностью отдавать себя на растерзание окружающим с их проблемами.",166,10 декабря,simple,1,True
6,"сегодня у вас намечается очень продуктивный рабочий день. с раннего утра вас ожидают экстренные совещания и срочные дела, не терпящие отлагательств. но не паникуйте, сохраняйте хладнокровие, и успех вам гарантирован. в самой сложной ситуации вы сумеете не растеряться и заслужите похвалу от начальства.",302,9 декабря,business,2,True
7,"сегодня вашему любимому человеку не захочется каким бы то ни было образом ударить в грязь лицом перед вами. он будет делать всё возможное для того, чтобы предстать перед вами во всей своей красе, а значит, вашей непосредственной задачей будет оценить эту красу, чтобы она не пропала зря.",287,9 декабря,love,2,True
8,"будучи уверены в собственной правоте, вы сегодня можете натворить рекордное количество глупостей. прислушайтесь к советам окружающих, возможно, они окажутся не такими уж дурацкими.",180,9 декабря,simple,2,True
9,"если вы ещё не причислили себя к людям, ведущим ночной образ жизни, то сегодня вы сможете испытать в полной мере все прелести времяпрепровождения полуночников. дневная суета и рабочие проблемы съедят всё светлое время суток, но открывшееся второе дыхание поможет вам ночью просто великолепно провести время.",307,8 декабря,business,3,True
10,"в этот день важную роль в вашей личной жизни сыграет знание иностранных языков и иностранной культуры. при этом вовсе не обязательно, что вам придется контактировать с иностранцами. вполне возможно, вы своей образованностью просто привлечете к себе внимание действительно достойного вас человека.",296,8 декабря,love,3,True
11,"внимательно присмотритесь к тому, чем заняты окружающие, прежде чем кидаться им на помощь. вам следует экономнее расходовать свою энергию - сегодня ее будет не слишком много.",174,8 декабря,simple,3,True
12,"сегодня благоприятный день для того, чтобы усовершенствовать ваши рабочие навыки: например, записаться на какой-нибудь тренинг, сходить на тематическую конференцию, имеющую непосредственное отношение к вашей трудовой деятельности, или хотя бы серьезные книги прочитать.",269,7 декабря,business,4,True
13,"в этот день ваше счастье, в том числе и в вашей личной жизни, будет зависеть целиком и полностью от вас. если вы сами за него бороться не будете, никто за вас этим неблагодарным делом не займется. придется как всегда взять всю ответственность на свои плечи. непросто, но необходимо.",282,7 декабря,love,4,True
14,"сегодня вы можете получить массу самых заманчивых обещаний. не ото всех стоит отказываться, но в каждом следует поискать подвох.",128,7 декабря,simple,4,True
15,"сегодня ваш козырь - это нестандартное мышление и новизна в подходе к решению проблем. вы будете даже сами удивлены тому, какие идеи сегодня родятся в вашем воображении. удивляйте всех окружающих, пусть знают, с кого брать пример! и не бойтесь экспериментировать.",263,6 декабря,business,5,True
16,"сегодня вашему любимому человеку будет грустно осознавать, что многое из того, что он сделал ради вас, он сделал зря, ибо это не возымело над вами необходимого ему эффекта. постарайтесь сделать все возможное для того, чтобы он не очень расстраивался по этому поводу.",266,6 декабря,love,5,True
17,"сегодня вы будете человеком исключительно высоких моральных качеств. не то, чтобы обычно это было не так, но нынче ваша щепетильность и вовсе не будет иметь никаких границ. но, все же не слишком усердствуйте.",208,6 декабря,simple,5,True
18,сегодняшний день будет непрост. мелкие конфликты с вашими сослуживцами и неоцененность ваших усилий со стороны начальства будет вам мешать получать удовольствие от работы. постарайтесь найти выход из этой ситуации.,214,5 декабря,business,6,True
