,text,length,date,type,index in posts,is_unique
0,"люди, которых вы считали своими друзьями, могут неожиданно подвести вас, причем именно тогда, когда вы будете очень нуждаться в их поддержке. отвлечься от грустных мыслей и справиться со своими переживаниями вам поможет работа. но нет худа без добра: вы сумеете, наконец, решить давно висящую мертвым грузом проблему.",317,11 декабря,business,0,True
1,"в этот день не стоит надеяться, что ваш любимый человек сам догадается, чего вы от него ждете и хотите, и предложит вам это с радостью и светлой улыбкой. придется попросить его об этом, причем может статься так, что неоднократно. если это не противоречит вашим принципам, разумеется.",283,11 декабря,love,0,True
2,"у вас сегодня не будет ни малейшей причины для скуки или любого другого вида плохого настроения. не то, чтобы все было так чудесно, просто некогда будет.",153,11 декабря,simple,0,True
3,"сегодня не стоит слишком полагаться на технику, она может вас подвести. так что если вы накрепко завязаны на высокие технологии, обязательно продумайте запасной вариант. особенно уязвимым местом будет связь.",207,10 декабря,business,1,True
4,"сегодня ваши отношения с вашим любимым человеком будут напоминать маленький огонек: он будет греть едва-едва, но если засунуть в него руки – обожжёт. его может задуть любой порыв ветра, но он может стать причиной самого настоящего пожара. все зависит лишь от вашей заботы.",272,10 декабря,love,1,True
5,"у вас столь далеко идущие цели, что не стоит откладывать радости жизни различной величины до лучших времен, т.е. до тех пор, пока вы их не достигнете. развлекитесь.",164,10 декабря,simple,1,True
6,"не торопитесь сегодня делать выводы касательно будущего вашей карьеры. данных у вас пока что маловато, да и нынешний день – не самый подходящий для подобных размышлений. завтра можете обсудить сие с вашими коллегами и даже с начальством, а пока наслаждайтесь жизнью.",266,9 декабря,business,2,True
7,"сегодня вашему любимому человеку не придётся вам долго объяснять очевидные вещи, потому что вы будете схватывать всё на лету. однако можете ненароком схватить не то и не так, а значит, сделать ложные выводы и понять не те идеи. будьте внимательны и аккуратны!",259,9 декабря,love,2,True
8,"сегодня рассудочная сторона вашего существа одержит полную победу над эмоциональной. попытки осмыслить любое движение сердца никогда до добра не доводили, посему постарайтесь не переусердствовать.",196,9 декабря,simple,2,True
9,"сегодня вы открыты для всего нового. любые, даже самые незначительные перемены вы в этот день воспримете как свежий глоток воздуха. а если ничего не происходит, то вам следует взять узды правления в свои руки и начинать активно действовать самостоятельно.",255,8 декабря,business,3,True
10,"в этот день звезды рекомендуют вам проявить внимание к родителям вашего любимого человека, причем по возможности искреннее и самое что ни на есть настоящее. постарайтесь сделать все возможное для того, чтобы они стали немножко счастливее: тогда и вашей половинке будет светлее на душе.",285,8 декабря,love,3,True
11,"вам хочется и того, и другого, и третьего, и побольше. однако, исходя из жизненного опыта человечества, получить все сразу не удастся. выберите приоритетные направления.",169,8 декабря,simple,3,True
12,"поток важных дел и вихрь срочных поручений подхватит вас в этот день. постарайтесь не потерять собранности и сконцентрироваться на делах. не хватайтесь за всё сразу, распределите нагрузку, чтобы к концу дня не растерять остатки энергии. она вам еще на грядущей неделе пригодится.",279,7 декабря,business,4,True
13,"сегодня вы будете довольно долго ждать какого-то определённого действия от вашего любимого человека, однако, к сожалению, не дождётесь, ибо он даже не подумает о том, насколько вам это важно. если вы, конечно, не намекнете ему на свои ожидания, желания и мечтания.",264,7 декабря,love,4,True
14,"сегодня вы можете оказаться в центре весьма пристального внимания окружающих. выходя из дома, проверьте, в порядке ли ваш туалет, чтобы объектом внимания оказались вы сами, а не оторвавшийся карман или разноцветные носки.",221,7 декабря,simple,4,True
15,"принимать сегодня поспешные решения будет по крайней мере, не предусмотрительно. сделайте все возможное для того, чтобы иметь хотя бы пять минут на тщательное обдумывание. больше – лучше. поспешишь – людей насмешишь, а в данном случае, еще и огорчишь.",251,6 декабря,business,5,True
16,"если вы вдруг начали сомневаться в ваших чувствах (а сегодня это, увы, вполне возможно) – снимите с полки вашу любимую книгу о любви, которую вы в свое время перечитывали по два-три раза в год, а то и чаще. и вы удивитесь, насколько там все написано про вас! вы все еще сомневаетесь?",283,6 декабря,love,5,True
17,"сегодня вам придется много говорить, утешая кого-то или наставляя на путь истинный. существует опасность, что вы увлечетесь.",124,6 декабря,simple,5,True
18,"сегодня ваша работы будет мешать вашей личной жизни, поэтому лучше вашего любимого человека предупредить о такой неприятности заранее, дабы он не слишком рассчитывал на эти день и вечер. постарайтесь сделать все возможное для того, чтобы все же уделить вашей половинке несколько часов.",285,5 декабря,business,6,True
19,"этот день принесет вам множество сюрпризов, связанных с вашей личной жизнью. некоторые из них сюрпризами назвать будет довольно сложно: все-таки их можно было логически предугадать. однако некоторые повергнут вас в самый настоящий ментальный ступор. впрочем, скорее приятный, нежели неприятный.",294,5 декабря,love,6,True
20,"вы все обдумали накануне, по крайней мере должны были это сделать. теперь действуйте, только не очень агрессивно, пожалуйста.",125,5 декабря,simple,6,True
21,"постарайтесь воспользоваться каждым деловым предложением, которое поступит к вам сегодня. пусть вам сначала покажется, что осилить такой объем работы по сбору документов и просто по физическим затратам достаточно сложно, не волнуйтесь, ведь глаза боятся, а руки делают.",269,4 декабря,business,7,True
22,"сегодня вашему любимому человеку будет очень сложно сосредоточиться на том или ином процессе, поэтому он будет стараться сделать максимально возможное для того, чтобы никто, и вы в том числе, не заметили его рассеянности и неаккуратности. может быть, стоит ему подыграть?..",273,4 декабря,love,7,True
