,text,length,date,type,index in posts,is_unique
0,"сегодня вы будете сверхактивны и невероятно предприимчивы, у вас появится масса идей по поводу источников дополнительного заработка. главное, реально оцените свои возможности и выберете тот вариант, который будет максимально комфортным для вас.",244,11 декабря,business,0,True
1,"в том, что вам скажет ваша половинка сегодня, не будет никакого подтекста! и даже не пытайтесь его найти. вам скажут ровно столько, сколько думают: ни словом меньше, ни мыслью больше. поэтому если вы вдруг найдете в сказанном тайный смысл – что ж, у вас богатая фантазия.",271,11 декабря,love,0,True
2,"сегодняшний день принесет вам отдохновение от забот и неприятностей, в которые вы имели неосторожность попадать в последнее время. правда, ненадолго, ведь без них тоже скучно.",175,11 декабря,simple,0,True
3,"сегодня наконец-то вы сможете завершить переговоры, которые тянулись так долго. радует то, что и в дальнейшем в работе с вашим партнером не возникнет никаких серьезных недоразумений и конфликтов. хороший повод для того, чтобы ещё раз убедиться, что вы великолепно справляетесь со своими обязанностями.",301,10 декабря,business,1,True
4,"кажется, ваши проблемы гораздо серьезнее, чем вы думаете. один чмоком в щёчку и словом «прости» здесь не обойдётся, придётся принимать более решительные и кардинальные меры. сегодня замечательный день для их совместного обдумывания. и даже для начала применения их на практике.",277,10 декабря,love,1,True
5,сегодня всякие поползновения к сотрудничеству с вами будут на корню задавлены могучею вашей индивидуальностью. постарайтесь хоть человека не покалечить.,152,10 декабря,simple,1,True
6,"сегодняшний день вам, скорее всего, придется посвятить решению домашних проблем и регулированию внутрисемейных отношений. но это того будет стоить, ведь вам всегда нужен рядом тот, кто бы вас выслушал и помог вам, так сделайте же так, чтобы с этим человеком у вас не было недомолвок.",283,9 декабря,business,2,True
7,"сегодня вам опять придется вспомнить, чем дружба отличается от любви и почему нельзя одно с другим смешивать. или можно: это зависит от вашего настроя и отношения к конкретному человеку. звезды желают вам сегодня принять правильное решение и потом ни секунды не мучиться в сомнениях.",283,9 декабря,love,2,True
8,"сегодня у вас могут возникнуть неприятности с друзьями или семьей. постарайтесь не слишком на них обижаться, иначе извиняться придется вам же.",142,9 декабря,simple,2,True
9,"не торопитесь принимать решения сегодня: скорее всего, они окажутся поспешными и недостаточно зрелыми. работайте медленно и размеренно – тогда ваши действия принесут куда лучший результат.",188,8 декабря,business,3,True
10,"вы могут узнать о любимом человеке нечто новое, если сегодня проявят внимание к мелочам. стоит попробовать, если, конечно, вы не считаете любимого полным совершенством и не боитесь разрушить эту идеальную картину каким-то не совсем вписывающимся в неё нюансом.",264,8 декабря,love,3,True
11,"даже если у вас будут весьма серьезные причины лгать и притворяться, остерегайтесь этим заниматься. сегодня не получится.",121,8 декабря,simple,3,True
12,"такое впечатление, что кто-то чересчур злоупотребляет вашей добротой и отзывчивостью. присмотритесь повнимательнее к тому человеку, которому вы уже не в первый раз оказываете услугу. так ли он нуждается в вашей постоянной поддержке? возможно, он просто-напросто сел вам на шею.",277,7 декабря,business,4,True
13,"в этот день вашему некогда любимому человеку вздумается вернуть вашу любовь, возобновить ваши отношения и начать переписывать вашу историю с чистого листа, белого, как свежевыпавший снег. но вы-то помните, что этот самый снег скрыл от ваших глаз. а ведь когда-нибудь он растает.",278,7 декабря,love,4,True
14,"как известно, не попробуешь - не узнаешь. сегодня это должно стать вашим девизом.",81,7 декабря,simple,4,True
15,"сегодня вам вряд ли удастся реализоваться в профессиональном плане. а вот помочь в этом кому-либо получится без проблем. придется вам вздохнуть тяжело и заняться благотворительностью, ибо что не сделаешь ради того, чтобы завтра фортуна улыбнулась и тебе.",254,6 декабря,business,5,True
16,"сегодня вам не стоит доводить себя до предела. если чувствуете, что вот-вот взорветесь – лучше остановитесь и переведите дух. в противном случае, вашему любимому человеку придется потом проходить курс психологической реабилитации.",230,6 декабря,love,5,True
17,"сегодня вам обязательно должно повезти. ваша задача - разглядеть, в чем же именно вам повезло.",94,6 декабря,simple,5,True
18,"сегодня благоприятный день для профессионального самосовершенствования. освойте новую методику старого дела, посоветуйтесь со знатоками и умельцами в вашей области, почитайте специальную литературу. не пожалеете: со временем труды окупятся сторицей.",249,5 декабря,business,6,True
19,"сегодня на вас нападёт беспричинная ностальгия по безвременно ушедшей любви. даже если вы сейчас счастливы с вашей половинкой и вам больше никого и ничего не надо, мелодия, картинка или фраза из прошлого вернёт вас на несколько лет назад, вы вспомните те, некогда любимые глаза и захотите вернуться в прошлое... хоть ненадолго.",327,5 декабря,love,6,True
20,"сегодняшние события вселят в ваше сердце уверенность, что время еще есть, и вы многое можете успеть. успевайте прямо сейчас, зачем же откладывать?",146,5 декабря,simple,6,True
21,"сегодня вам не стоит слишком много рассказывать вашим близким и любимым людям о вашей работе. во-первых, они вряд ли поймут все то, что вы им скажете, в полном объеме, а во-вторых, любые воспоминания о трудовой деятельности будут для нее же более чем неблагоприятны.",266,4 декабря,business,7,True
22,"сегодня кто-то будет очень нуждаться в вашей заботе. в смысле, вас и вашей половинки. по отдельности вам не справиться. совместный труд, хоть и не для вашей пользы, очень облагораживает, да и сближает несказанно. в этот день ваше мы очень повзрослеет и даже, возможно, выйдет на новый этап развития.",299,4 декабря,love,7,True
23,"не полагайтесь на хорошую память сегодня, ни на свою, ни на чью-либо еще. вам либо придется плутать по городу, забыв адрес, либо вы попадете в неловкую ситуацию, запамятовав имя собеседника. в любом случае, лучше все записывать.",228,4 декабря,simple,7,True
24,"сегодня вам предстоит выяснить, что именно думает о вас ваш коллега, причем узнаете вы об этом самым неожиданным для вас образом в обстановке, весьма далекой от рабочей. постарайтесь сделать из полученных сведений важные выводы, дабы они не помешали вашей работе в дальнейшем.",276,3 декабря,business,8,True
25,"будьте терпимы. да, это трудно. ваша половинка – далеко не подарок, так что неудивительно, что вам периодически хочется от нее куда-нибудь сбежать. но раз вы вместе – значит, вам это зачем-то нужно. придется терпеть и либо пресекать скандалы и капризы, либо им потакать. выбор остается за вами.",294,3 декабря,love,8,True
26,"сегодня вы должны приоткрыть для себя завесу некоторой тайны. сами ли вы это сделаете, или вас просто посвятят в нее насильственным образом - зависит от обстоятельств.",167,3 декабря,simple,8,True
27,"сегодня бодрая музыка будет весьма способствовать вашей трудовой активности. постарайтесь делать все в ее ритме, не отставая и даже по возможности обгоняя. возможно, вам тогда удастся покончить с вашими делами куда быстрее, чем обычно, и оставить время на дополнительное чаепитие.",280,2 декабря,business,9,True
28,"сегодня вам стоит очень быстро расквитаться с вашими делами, чтобы уделить наконец как можно больше времени вашему любимому человеку. ему настолько не хватает вашего внимания, что каждая совместная минутка будет восприниматься им как самое настоящее счастье.",258,2 декабря,love,9,True
29,"хотя содержание, обычно, и считается моментом более важным, нежели форма, сегодня вам стоит позаботится именно о внешней красоте. да и самому приятно посмотреть будет.",167,2 декабря,simple,9,True
30,"самое время подумать о чем-то более важном, чем ваша прибыль. не вредит ли ваша деятельность кому? не загрязняете ли вы окружающую среду, не способствуете ли деградации общества? вы все равно будете настроены на философский лад — может, придумаете, как улучшить жизнь?",268,1 декабря,business,10,True
31,"в этот день вашему любимому человеку будет довольно сложно понять, чего вы от него хотите и зачем вам нужен именно такой результат. придется дать ему правдивое или правдоподобное, но обязательно подробное объяснение ваших целей, стремлений и действий.",251,1 декабря,love,10,True
32,сегодня вы имеете шанс познать в полной мере силу земного притяжения. рекомендуем воздержаться от полетов во сне и падений наяву.,129,1 декабря,simple,10,True
