,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Прежде чем отправляться в путешествие по неизведанным мирам, постарайтесь завершить все имеющиеся неотложные дела, ибо времени оно может занять больше, чем вы предполагаете.

Бизнес-гороскоп на 11 декабря 2019 года 
 Сегодня не скрывайте своих чувств, будьте открыты, честны и забудьте про лицемерие. Ведь это так чудесно, когда вы учитесь видеть мир в светлых тонах и замечать в людях больше положительных черт, нежели отрицательных. Такой позитивный подход к делам поможет вам с легкостью со всем справиться.

Любовный гороскоп на 11 декабря 2019 года
Сегодня вашему любимому человеку будет очень важно осознавать, что и для вас общение с ним что-то значит, что его чувства к вам и заботы о вас не напрасны и не направлены в бездушную пустоту. Сделайте всё возможное для того, чтобы ваша половинка почувствовала себя нужной вам.",866,11 декабря
1,"Гороскоп на 10 декабря 2019 года 
 Сегодняшний день может ознаменоваться потерей чего-то давно знакомого. Постарайтесь не ссориться со старыми друзьями - подобного рода утраты невосполнимы.

Бизнес-гороскоп на 10 декабря 2019 года 
 Сегодня вам будет просто дать какое-то обещание, но крайне нелегко заставить себя его выполнить. Лень ваша наверняка одержит победу над здравым смыслом и чувством долга. Что ж, иногда приходится и проигрывать.

Любовный гороскоп на 10 декабря 2019 года
Сегодня вы будете настолько увлечены учебой или работой, что будете с трудом замечать вашего любимого человека и его попытки обратить на себя ваше внимание. Впрочем, звезды все же рекомендуют это сделать, иначе взаимопонимание из ваших отношений может уйти более чем надолго.",762,10 декабря
2,"Гороскоп на 9 декабря 2019 года 
 Как известно, война - ерунда, главное - маневры. Ваши проблемы несложно решить, надо лишь найти верный подход.

Бизнес-гороскоп на 9 декабря 2019 года 
 Удачный день для интеллектуальной работы. Полезно и продуктивно было бы заняться чтением профессиональной литературы – все будет предельно ясно и прочитанное положительно повлияет на ваш карьерный рост. А если вдруг решите заняться повышением квалификации, то и тут ваши труды не пройдут зря.

Любовный гороскоп на 9 декабря 2019 года
В этот день вам покажется, что вы знакомы с вашим любимым человеком совсем не долго, буквально несколько минут. Он снова станет для вас загадочным, непостижимым и удивительным человеком, тайной, которую непременно надо раскрыть. Только не торопитесь, получите удовольствие от процесса!",808,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Сегодня вам будет трудно усидеть на месте. Постарайтесь не очень разбрасываться, хватаясь за всякую мелочь. Упорядочьте свои усилия и бросьте их на борьбу с чем-то определенным.

Бизнес-гороскоп на 8 декабря 2019 года 
 Сегодня не стоит отказываться от заманчивых финансовых предложений. Если у вас запланирована деловая встреча – идите на неё уверенно. Её результат вас приятно удивит. А если вам еще и сделку удастся заключить...

Любовный гороскоп на 8 декабря 2019 года
Сегодня вам стоит поговорить с вашим любимым человеком о высоком и глубоком. Но не об Эйфелевой башне и Марианской впадине, а о культуре, искусстве, поэзии, философии и других интереснейших вещах. Вам наверняка есть о чем сказать друг другу и какими мнениями обменяться.",779,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Сегодня все будет именно так, как вам хотелось бы, и даже немного лучше. Примите поздравления.

Бизнес-гороскоп на 7 декабря 2019 года 
 Сегодня вам не рекомендуется много рассказывать о ваших трудовых подвигах тем, кто вряд ли способен будет их оценить по достоинству. Если вам требуется яркая и качественная обратная связь, лучше попросите внимания коллеги.

Любовный гороскоп на 7 декабря 2019 года
Сегодня какая-то трудная задача, ответственность за решение которой вы так долго не могли взять на себя, решится довольно быстро и просто благодаря тому, что решать её вы будете вместе с вашим любимым человеком. Вместе всегда всё делается проще, быстрее и веселее.",701,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 День для вас начнется с созерцательной, а закончится активной деятельностью. Если вы не желаете напрягать мускулатуру, лучше не присутствовать при чьих-то трудах в качестве зрителя - кооптируют.

Бизнес-гороскоп на 6 декабря 2019 года 
 Только ваша целеустремленность в этот день поможет вам достигнуть всех поставленных перед вами трудовых целей и выйти победителем из любых неблагоприятных ситуаций, которые возникнут на вашем пути. Впрочем, любой положительный результат вашей деятельности будет оценен по достоинству.

Любовный гороскоп на 6 декабря 2019 года
В этот день вашему любимому человеку будет довольно трудно уступить вам в каком-то споре: он будет настаивать на своем бесконечно, что окажется для вас раздражающим фактором. Постарайтесь сдерживать свои эмоции и, в крайнем случае, перенести серьезную беседу на завтра.",868,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Похоже, ваши планы подразумевают настолько большое количество всевозможных дел, что основной проблемой сегодня может стать извечное с чего начать?. Начинайте с того, что ближе лежит, меньше времени на перемещения потратите.

Бизнес-гороскоп на 5 декабря 2019 года
 Высока вероятность того, что сегодня в рабочей сфере сложится довольно зыбкая и изменчивая ситуация. Сложные переговоры на высшем уровне способны немного поколебать ваш размеренный ритм работы и привнести новые проблемы во внутренние дела компании.
 
Любовный гороскоп на 5 декабря 2019 года
Сегодня вашему любимому человеку очень захочется получить от вас какое-то вещественное доказательство ваших чувств. Письмо, открытку, маленький подарок - всё, что можно подержать в руках и сохранить на добрую память об этом этапе ваших отношений, каким бы он ни был.",862,5 декабря
7,"Гороскоп на 4 декабря 2019 года 
 Сегодня границы бытия раздвинутся перед вами и все будет казаться несколько иным, чем прежде. Присмотритесь, может понравится?

Бизнес-гороскоп на 4 декабря 2019 года 
 Сегодня вам трудно будет найти общий язык с коллегами: то ли они проявят непонятливость, то ли вы окажетесь не особенно приветливы. Возможно, с этим и можно что-то сделать, но получится вряд ли — просто перенесите обсуждение каких бы то ни было проблем на другой день.

Любовный гороскоп на 4 декабря 2019 года
Кажется, слово диалог - это не про ваши отношения. Один из вас постоянно произносит длинные монологи, а второй - внимательно слушает. Обсудите, устраивают ли вас эти роли. Возможно, ваша молчаливая половинка давно хочет вам что-то сказать или говорливая - узнать что-либо и о вашей жизни.",807,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Сегодня вам может оказаться трудно доверять некоторым людям вокруг вас. Если инстинкт столь настоятельно требует внимания, то к нему стоит прислушаться. Отход на оборонительные позиции в данном случае - лучшее, что вы можете сделать.

Бизнес-гороскоп на 3 декабря 2019 года 
 Хорошее время для расширения частного бизнеса. На высоком уровне пройдут переговоры с новыми возможными поставщиками, так что поэтому, вполне вероятно, что в скором времени вы сумеете увеличить доход вашего предприятия.

Любовный гороскоп на 3 декабря 2019 года
В этот день вам захочется постоянно торопиться. Делать все максимально быстро и добиваться нужного результата за максимально сжатые сроки. Однако скорость – это, к сожалению, вовсе не тот молоточек, с помощью которого можно достучаться в дверь внутреннего мира вашего любимого человека. Лучше торопиться медленно...",888,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Спланировав этот день - не меняйте планов. Он будет удачен лишь в том случае, если вы станете следовать расписанию пункт за пунктом.

Бизнес-гороскоп на 2 декабря 2019 года 
 Сегодня вам не придется долго размышлять над тем, как бы оптимизировать ваш процесс работы. К сожалению, ни времени, ни возможностей для этого у вас не будет. Поэтому постарайтесь даже из неоптимизированного процесса выжать максимум результата.

Любовный гороскоп на 2 декабря 2019 года
Сегодня ваш любимый человек будет склонен к тому, чтобы верить в мистику и чудеса, что значительно отразится на ваших отношениях. И если вдруг светофор на перекрёстке подмигнёт ему не тем цветом, который он загадал, он будет вести себя отнюдь не в соответствии со здравым смыслом.",777,2 декабря
