,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Ваша честность обезоруживает. Более того, она смущает людей и ставит их в неловкое положение. Подумайте, действительно ли вы хотите достичь именно этого эффекта.

Бизнес-гороскоп на 11 декабря 2019 года
Звезды уготовили вам сегодня непростой и насыщенный день, так что не надейтесь, что сможете просто дождаться вечера, когда можно будет уйти домой. Сегодня возможны конфликты с начальником, но старайтесь уже научиться переносить их с долей философского подхода, ведь вы всегда найдете компромисс.

Любовный гороскоп на 11 декабря 2019 года
Сегодня вашему любимому человеку будет непонятно, почему вы продолжаете так близко с ним общаться. Он искренне будет верить в то, что в нем нет ничего особенного и заслуживающего столь пристального внимания такого потрясающего человека, как вы. Постарайтесь его успокоить.",850,11 декабря
1,"Гороскоп на 10 декабря 2019 года 
 Эгоизм сегодня вам противопоказан, даже в минимальных размерах. Впрочем, вам не привыкать целиком и полностью отдавать себя на растерзание окружающим с их проблемами.

Бизнес-гороскоп на 10 декабря 2019 года 
 Сегодня работа для вас окажется лучше любого отдыха: вы будете выполнять ее с огромным удовольствием и желанием продолжать в том же духе как можно дольше. Постарайтесь однако не увлекаться: ваши друзья и близкие наверняка тоже жаждут вашего внимания и могут даже обидеться из-за его недостатка.

Любовный гороскоп на 10 декабря 2019 года
Сегодня сбудутся все ваши самые смелые мечты и желания, стоит только поверить в это и очень захотеть подобного исхода событий. Поэтому звезды рекомендуют пожелать что-нибудь хорошее в области личной жизни, то есть для себя и вашего любимого человека. И ждать, когда звезда упадет на ладошку.",875,10 декабря
2,"Гороскоп на 9 декабря 2019 года 
 Будучи уверены в собственной правоте, вы сегодня можете натворить рекордное количество глупостей. Прислушайтесь к советам окружающих, возможно, они окажутся не такими уж дурацкими.

Бизнес-гороскоп на 9 декабря 2019 года 
 Сегодня у вас намечается очень продуктивный рабочий день. С раннего утра вас ожидают экстренные совещания и срочные дела, не терпящие отлагательств. Но не паникуйте, сохраняйте хладнокровие, и успех вам гарантирован. В самой сложной ситуации вы сумеете не растеряться и заслужите похвалу от начальства.

Любовный гороскоп на 9 декабря 2019 года
Сегодня вашему любимому человеку не захочется каким бы то ни было образом ударить в грязь лицом перед вами. Он будет делать всё возможное для того, чтобы предстать перед вами во всей своей красе, а значит, вашей непосредственной задачей будет оценить эту красу, чтобы она не пропала зря.",890,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Внимательно присмотритесь к тому, чем заняты окружающие, прежде чем кидаться им на помощь. Вам следует экономнее расходовать свою энергию - сегодня ее будет не слишком много.

Бизнес-гороскоп на 8 декабря 2019 года 
 Если вы ещё не причислили себя к людям, ведущим ночной образ жизни, то сегодня вы сможете испытать в полной мере все прелести времяпрепровождения полуночников. Дневная суета и рабочие проблемы съедят всё светлое время суток, но открывшееся второе дыхание поможет вам ночью просто великолепно провести время.

Любовный гороскоп на 8 декабря 2019 года
В этот день важную роль в вашей личной жизни сыграет знание иностранных языков и иностранной культуры. При этом вовсе не обязательно, что вам придется контактировать с иностранцами. Вполне возможно, вы своей образованностью просто привлечете к себе внимание действительно достойного вас человека.",898,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Сегодня вы можете получить массу самых заманчивых обещаний. Не ото всех стоит отказываться, но в каждом следует поискать подвох.

Бизнес-гороскоп на 7 декабря 2019 года 
 Сегодня благоприятный день для того, чтобы усовершенствовать ваши рабочие навыки: например, записаться на какой-нибудь тренинг, сходить на тематическую конференцию, имеющую непосредственное отношение к вашей трудовой деятельности, или хотя бы серьезные книги прочитать.

Любовный гороскоп на 7 декабря 2019 года
В этот день ваше счастье, в том числе и в вашей личной жизни, будет зависеть целиком и полностью от вас. Если вы сами за него бороться не будете, никто за вас этим неблагодарным делом не займется. Придется как всегда взять всю ответственность на свои плечи. Непросто, но необходимо.",800,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 Сегодня вы будете человеком исключительно высоких моральных качеств. Не то, чтобы обычно это было не так, но нынче ваша щепетильность и вовсе не будет иметь никаких границ. Но, все же не слишком усердствуйте.

Бизнес-гороскоп на 6 декабря 2019 года 
 Сегодня ваш козырь - это нестандартное мышление и новизна в подходе к решению проблем. Вы будете даже сами удивлены тому, какие идеи сегодня родятся в вашем воображении. Удивляйте всех окружающих, пусть знают, с кого брать пример! И не бойтесь экспериментировать.

Любовный гороскоп на 6 декабря 2019 года
Сегодня вашему любимому человеку будет грустно осознавать, что многое из того, что он сделал ради вас, он сделал зря, ибо это не возымело над вами необходимого ему эффекта. Постарайтесь сделать все возможное для того, чтобы он не очень расстраивался по этому поводу.",858,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Вы наверняка сделали правильный выбор, однако, вы не сможете убедиться в этом, пока не начнете двигаться в избранном направлении. Решайтесь.

Бизнес-гороскоп на 5 декабря 2019 года 
 Сегодняшний день будет непрост. Мелкие конфликты с вашими сослуживцами и неоцененность ваших усилий со стороны начальства будет вам мешать получать удовольствие от работы. Постарайтесь найти выход из этой ситуации.

Любовный гороскоп на 5 декабря 2019 года
Сегодня звёзды рекомендуют в сложную минуту советоваться с вашим любимым человеком по спорным вопросам и принимать решение только после того, как получите его на то одобрение. Решения, принятые в одиночку, с высокой долей вероятности, не окажутся правильными. К сожалению.",747,5 декабря
7,"Гороскоп на 4 декабря 2019 года 
 Вы склонны слишком многое принимать на свой счет. Не стоит, далеко не все делается специально, чтобы вас обидеть, что-то к вам и вовсе никакого отношения не имеет.

Бизнес-гороскоп на 4 декабря 2019 года 
 Сегодня вам в вашей работе пригодятся все те знания, которые вы получили в училище, институте или университете, даже если тогда вам казалось, что это совершенно бесполезно и для реальной жизни непригодно. Что ж, вам остается надеяться лишь на вашу память.

Любовный гороскоп на 4 декабря 2019 года
Сегодня вашему любимому человеку будет непросто простить вас за тот или иной ваш поступок. Однако он сделает это во имя ваших отношений. Постарайтесь оценить его жест и приложить все усилия к тому, чтобы подобная ситуация больше никогда не повторялась.",791,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Вы склонны считать неразрешимой проблему, которая таковой вовсе не является. Не стоит отравлять себе жизнь пустыми переживаниями, а то как бы судьба не подбросила вам реальный повод для расстройства.

Бизнес-гороскоп на 3 декабря 2019 года 
 Сегодня вам не следует пренебрегать вашими непосредственными обязанностями, отвлекаться на ерунду и обращать внимание на действия ваших коллег. Основной задачей является выполнение ваших непосредственных функций в минимальный период времени. Постарайтесь приложить к этому максимум усилий.

Любовный гороскоп на 3 декабря 2019 года
В этот день ваша душа будет жаждать творчества, творческой реализации и благодарных зрителей или слушателей, которые всё это оценят. В роли таковых может выступить ваш любимый человек, однако если плоды вашей фантазии будут ему не по нраву, терпения ему хватит ненадолго.",880,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Сегодня кто-то очень глупый может все испортить, причем руководствоваться он при этом будет самыми благими намерениями. Возможно, вам все-таки удастся спасти положение, если успеете перехватить эту замечательную личность и озадачить ее чем-нибудь до конца дня.

Бизнес-гороскоп на 2 декабря 2019 года 
 С чем вам надо сегодня бороться, так это с беспорядком в своих мыслях. Пусть каждый ваш шаг будет мотивирован практицизмом, тогда вы сможете без лишних усилий достичь того, к чему стремились. И не жалейте себя, работайте так, как будто за это вы получите премию, и кто знает, возможно вам её и назначат.

Любовный гороскоп на 2 декабря 2019 года
В этот день ваш любимый человек будет очень много фантазировать, придумывать и настроит целый город, состоящий из одних только воздушных и песочных замков. У вас есть выбор: стать скептиком-реалистом или же разделить его мечты. Первое правильнее, второе – интереснее.",951,2 декабря
