,text,length,date,type,index in posts
0,"Сегодня вы будете сверхактивны и невероятно предприимчивы, у вас появится масса идей по поводу источников дополнительного заработка. Главное, реально оцените свои возможности и выберете тот вариант, который будет максимально комфортным для вас.",244,11 декабря,business,0
1,"В том, что вам скажет ваша половинка сегодня, не будет никакого подтекста! И даже не пытайтесь его найти. Вам скажут ровно столько, сколько думают: ни словом меньше, ни мыслью больше. Поэтому если вы вдруг найдете в сказанном тайный смысл – что ж, у вас богатая фантазия.",271,11 декабря,love,0
2,"Сегодняшний день принесет вам отдохновение от забот и неприятностей, в которые вы имели неосторожность попадать в последнее время. Правда, ненадолго, ведь без них тоже скучно.",175,11 декабря,simple,0
3,"Сегодня наконец-то вы сможете завершить переговоры, которые тянулись так долго. Радует то, что и в дальнейшем в работе с вашим партнером не возникнет никаких серьезных недоразумений и конфликтов. Хороший повод для того, чтобы ещё раз убедиться, что вы великолепно справляетесь со своими обязанностями.",301,10 декабря,business,1
4,"Кажется, ваши проблемы гораздо серьезнее, чем вы думаете. Один чмоком в щёчку и словом «прости» здесь не обойдётся, придётся принимать более решительные и кардинальные меры. Сегодня замечательный день для их совместного обдумывания. И даже для начала применения их на практике.",277,10 декабря,love,1
5,Сегодня всякие поползновения к сотрудничеству с вами будут на корню задавлены могучею вашей индивидуальностью. Постарайтесь хоть человека не покалечить.,152,10 декабря,simple,1
6,"Сегодняшний день вам, скорее всего, придется посвятить решению домашних проблем и регулированию внутрисемейных отношений. Но это того будет стоить, ведь вам всегда нужен рядом тот, кто бы вас выслушал и помог вам, так сделайте же так, чтобы с этим человеком у вас не было недомолвок.",283,9 декабря,business,2
7,"Сегодня вам опять придется вспомнить, чем дружба отличается от любви и почему нельзя одно с другим смешивать. Или можно: это зависит от вашего настроя и отношения к конкретному человеку. Звезды желают вам сегодня принять правильное решение и потом ни секунды не мучиться в сомнениях.",283,9 декабря,love,2
8,"Сегодня у вас могут возникнуть неприятности с друзьями или семьей. Постарайтесь не слишком на них обижаться, иначе извиняться придется вам же.",142,9 декабря,simple,2
9,"Не торопитесь принимать решения сегодня: скорее всего, они окажутся поспешными и недостаточно зрелыми. Работайте медленно и размеренно – тогда ваши действия принесут куда лучший результат.",188,8 декабря,business,3
10,"Тельцы могут узнать о любимом человеке нечто новое, если сегодня проявят внимание к мелочам. Стоит попробовать, если, конечно, вы не считаете любимого полным совершенством и не боитесь разрушить эту идеальную картину каким-то не совсем вписывающимся в неё нюансом.",264,8 декабря,love,3
11,"Даже если у вас будут весьма серьезные причины лгать и притворяться, остерегайтесь этим заниматься. Сегодня не получится.",121,8 декабря,simple,3
12,"Такое впечатление, что кто-то чересчур злоупотребляет вашей добротой и отзывчивостью. Присмотритесь повнимательнее к тому человеку, которому вы уже не в первый раз оказываете услугу. Так ли он нуждается в вашей постоянной поддержке? Возможно, он просто-напросто сел вам на шею.",277,7 декабря,business,4
13,"В этот день вашему некогда любимому человеку вздумается вернуть вашу любовь, возобновить ваши отношения и начать переписывать вашу историю с чистого листа, белого, как свежевыпавший снег. Но вы-то помните, что этот самый снег скрыл от ваших глаз. А ведь когда-нибудь он растает.",278,7 декабря,love,4
14,"Как известно, не попробуешь - не узнаешь. Сегодня это должно стать вашим девизом.",81,7 декабря,simple,4
15,"Сегодня вам вряд ли удастся реализоваться в профессиональном плане. А вот помочь в этом кому-либо получится без проблем. Придется вам вздохнуть тяжело и заняться благотворительностью, ибо что не сделаешь ради того, чтобы завтра Фортуна улыбнулась и тебе.",254,6 декабря,business,5
16,"Сегодня вам не стоит доводить себя до предела. Если чувствуете, что вот-вот взорветесь – лучше остановитесь и переведите дух. В противном случае, вашему любимому человеку придется потом проходить курс психологической реабилитации.",230,6 декабря,love,5
17,"Сегодня вам обязательно должно повезти. Ваша задача - разглядеть, в чем же именно вам повезло.",94,6 декабря,simple,5
18,"Сегодня благоприятный день для профессионального самосовершенствования. Освойте новую методику старого дела, посоветуйтесь со знатоками и умельцами в вашей области, почитайте специальную литературу. Не пожалеете: со временем труды окупятся сторицей.",249,5 декабря,business,6
19,"Сегодня на вас нападёт беспричинная ностальгия по безвременно ушедшей любви. Даже если вы сейчас счастливы с вашей половинкой и вам больше никого и ничего не надо, мелодия, картинка или фраза из прошлого вернёт вас на несколько лет назад, вы вспомните те, некогда любимые глаза и захотите вернуться в прошлое... Хоть ненадолго.",327,5 декабря,love,6
20,"Сегодняшние события вселят в ваше сердце уверенность, что время еще есть, и вы многое можете успеть. Успевайте прямо сейчас, зачем же откладывать?",146,5 декабря,simple,6
21,"Сегодня вам не стоит слишком много рассказывать вашим близким и любимым людям о вашей работе. Во-первых, они вряд ли поймут все то, что вы им скажете, в полном объеме, а во-вторых, любые воспоминания о трудовой деятельности будут для нее же более чем неблагоприятны.",266,4 декабря,business,7
22,"Сегодня кто-то будет очень нуждаться в вашей заботе. В смысле, вас и вашей половинки. По отдельности вам не справиться. Совместный труд, хоть и не для вашей пользы, очень облагораживает, да и сближает несказанно. В этот день ваше Мы очень повзрослеет и даже, возможно, выйдет на новый этап развития.",299,4 декабря,love,7
23,"Не полагайтесь на хорошую память сегодня, ни на свою, ни на чью-либо еще. Вам либо придется плутать по городу, забыв адрес, либо вы попадете в неловкую ситуацию, запамятовав имя собеседника. В любом случае, лучше все записывать.",228,4 декабря,simple,7
24,"Сегодня вам предстоит выяснить, что именно думает о вас ваш коллега, причем узнаете вы об этом самым неожиданным для вас образом в обстановке, весьма далекой от рабочей. Постарайтесь сделать из полученных сведений важные выводы, дабы они не помешали вашей работе в дальнейшем.",276,3 декабря,business,8
