,text,length,date,type,index in posts,is_unique
0,"сегодня вам предстоит исследовательская работа, необходимая для того, чтобы хоть как-то сориентироваться в построении планов на будущее. не вздумайте отлынивать — полагаться на авось крайне не рекомендуется.",207,11 декабря,business,0,True
1,"в этот день звёзды не рекомендуют вам проводить много времени на улице, пусть даже и в обществе вашего любимого человека. постарайтесь уединиться дома, в кафе, в кино или на худой конец в транспорте, общественном или частном. так оно вернее будет и для вас, и для него.",269,11 декабря,love,0,True
2,"прежде, чем вступать в беседу с малознакомым человеком, постарайтесь немного разузнать о нем. возможно, это убережет вас от некоторых недоразумений.",148,11 декабря,simple,0,True
3,"перерывы на чай и кофе во время рабочего процесса очень плодотворно скажутся на его качестве. поэтому не стесняйтесь хотя бы раз в два часа отрываться от ваших непосредственных обязанностей с целью выпить крепкой горячей и, по возможности, сладкой жидкости.",257,10 декабря,business,1,True
4,"сегодня на вас нападут вялость и апатия. поэтому если ваша половинка вздумает фонтанировать идеями и хотеть от вас всего и немедленно, ничего хорошего у нее из этой затеи не выйдет. лучше сразу ее предупредить о том, что даже пытаться вас расшевелить не стоит.",260,10 декабря,love,1,True
5,"сегодняшний день может принести вам состояние беспокойства и неуверенности в себе. вполне вероятно, что вы засомневаетесь, что поступаете правильно, хотя еще вчера были убеждены, что именно так и надо.",201,10 декабря,simple,1,True
6,"сегодня не торопитесь принимать важные и ответственные решения: вряд ли они приведут к желаемому результату. больше вероятность того, что, напротив, чем больше вы будете стремиться к достижению цели, тем дальше от вас окажется эта цель. постарайтесь всего добиться играючи.",273,9 декабря,business,2,True
7,"сегодня вашему любимому человеку не придется проводить много времени за решением ваших проблем, потому что вы вполне в состоянии будете решить их самостоятельно. его задачей будет лишь подтолкнуть вас в правильном направлении, придать нужное ускорение вашим мыслям и движениям.",277,9 декабря,love,2,True
8,"вы склонны брать всю ответственность за происходящее на себя, и совершенно напрасно. позвольте другим разделить с вами этот тяжкий груз.",136,9 декабря,simple,2,True
9,"сегодня самый подходящий день для того, чтобы привести себя и свои мысли в порядок. на следующей неделе ни сил, ни времени у вас на это не будет, а упорядочение внутреннего мира весьма благоприятно скажется на качестве вашей работы. поэтому будьте расслаблены и умиротворены.",275,8 декабря,business,3,True
10,"сегодня даже не старайтесь перечить вашему любимому человеку: своего не добьетесь, а ссоры будет не избежать. на таком обиженном много воды не увезешь, да и тишиной насладиться не удастся: обижаться на вас будут бурно и демонстративно. так что проще согласиться со всеми доводами вашей половинки и предоставить ей полную свободу действий.",338,8 декабря,love,3,True
11,"сегодня вам лучше не искать компании, у вас могут появиться трудности в общении с себе подобными. придется удовольствоваться обществом телевизора.",146,8 декабря,simple,3,True
12,"не стоит сегодня драматизировать ситуацию. не принимайте никаких важных решений, сейчас вы слишком впечатлительны, чтобы мыслить адекватно. лучше немного выждите и в скором времени вы увидите, что все проблемы оказались гораздо менее существенны, чем вы думали.",261,7 декабря,business,4,True
13,"в вас и всём вашем семействе сегодня проснётся жажда деятельности. если дело ограничится физической активностью — вам повезло, однако вы можете взяться и за разбор полетов. этого имело бы смысл избежать.",203,7 декабря,love,4,True
14,сегодня наитяжелейшей проблемой может стать решение вопроса о выборе цвета носового платка. остальное затруднений вызывать не должно.,133,7 декабря,simple,4,True
15,"сегодня вам не следует слишком серьезно относиться к тому, что происходит на ваших глазах. в конце концов, все это может еще десять раз перемениться, и ваши сегодняшние действия не возымеют никаких последствий, ни позитивных, ни негативных. не стоит и бояться.",260,6 декабря,business,5,True
16,"сегодня вам стоит посвятить вместе с вашим любимым человеком время любованию природой, наслаждению свежим воздухом и восторгам по поводу того, что у природы нет плохой погоды. постарайтесь не испортить эти волшебные минуты выяснением отношений.",244,6 декабря,love,5,True
17,"сегодня вам стоит уделить повышенное внимание своей внешности. вам предстоит произвести впечатление, так пусть оно будет приятным во всех отношениях.",149,6 декабря,simple,5,True
