,text,length,date,type,index in posts
0," Если ваше начальство сегодня предложит вам отправиться в деловую поездку, соглашайтесь, не раздумывая, ибо любые командировки будут для вас сейчас очень успешными и смогут принести вам неплохой доход. Ещё недавно вы были недовольным своим финансовым положением? Теперь дела пойдут на поправку!",951,11 декабря,business,0
1,"В этот день вам стоит посоветоваться с вашими друзьями или старшими товарищами касательно того, как вам стоит вести себя дальше, что делать и как решать те или иные проблемы, возникшие во время ваших отношений с вашим любимым человеком. Впрочем, не стоит доверять услышанному на сто процентов: итоговое решение все равно принимать вам.",951,11 декабря,love,0
2," Вы сегодня вполне можете стать вдохновителем всевозможных изменений. Будьте осмотрительны, излагая очередную блистательную идею, слишком велика вероятность, что ее воплотят в жизнь без вашего ведома.",951,11 декабря,simple,0
3," Не торопитесь в этот день делать замечания вашему коллеге. Он вполне может на них обидеться настолько крепко, что не будет с вами разговаривать еще недели две или три, а то и мстить вздумает. Впрочем, вероятность мести невелика, а вот 10-15 рабочих дней провести в тишине и покое – это ли не счастье?",858,10 декабря,business,1
4,Сегодня ваш любимый человек будет с самым обыденным видом делать самые настоящие чудеса и дарить их вам. Постарайтесь не скрывать вашего восторга и всячески его демонстрировать вашему собственному волшебнику: от этого таланты в колдовстве повышаются.,858,10 декабря,love,1
5, Вы счастливы сознанием способности помочь другим. Воздух напоен ароматом благожелательности. День этот чреват началом дружбы или романа. Ваша сила находится в вашей способности давать.,858,10 декабря,simple,1
6," Сегодня вам не стоит никуда торопиться, ибо если вы будете выполнять ваши непосредственные рабочие обязанности на скорость, наверняка упустите из виду пару-тройку важных мелочей, которые могут впоследствии сыграть решающую роль в вашем бизнесе.",789,9 декабря,business,2
7,"Вам казалось, что вы знаете вашу половинку наизусть, она предсказуема на десять шагов вперед. Сегодня вам придется пересмотреть свою точку зрения, причем кардинально. В этот день ваш любимый человек выкинет такое, что останется только диву даваться, откуда что взялось.",789,9 декабря,love,2
8," Сегодня в цене будут уши, готовые выслушать, понять, в нужный момент кивнуть и проявить безграничное сочувствие. Берегитесь, они наверняка окажутся вашими.",789,9 декабря,simple,2
9," Сегодня следите за тем, что вы говорите, и уж тем более не произносите ваши мысли вслух, даже если вам кажется, что вас никто не слышит. Любое неосторожное действие, да что там — звук, могут быть использованы против вас вашими недоброжелателями.",801,8 декабря,business,3
10,"Сегодня вы будете настолько оптимистичны, радостны и уверенны в себе, что останется только завидовать вашему любимому человеку, который весь этот день будет греться в лучах вашего счастья. Может быть, он от вас им и заразится и в свою очередь будет греть близких ему людей – и вас в том числе.",801,8 декабря,love,3
11," Сегодня вам предстоит день, полный борьбы с непониманием в как рядах близких вам людей так и среди прочих. Возможно, вы его так и не победите.",801,8 декабря,simple,3
12," Не самый подходящий день для того, чтобы напрягать мозги. Если у вас есть возможность заняться физическим трудом — лучше ею воспользоваться. Если таковой нет — просто откажитесь от работы сегодня.",817,7 декабря,business,4
13,"В этот день у вас с вашей половинкой могут возникнуть разногласия по финансовым вопросам. Либо вы не сможете решить, на что потратить скопившуюся у вас огромную сумму, либо будете думать, где бы её достать, либо... Впрочем, вариантов множество, равно как и решений, которые вам так или иначе придётся найти.",817,7 декабря,love,4
14," Не стоит затевать пустые споры. Они и делу повредить могут, и драгоценного времени много отнимут. Лучше займитесь отсеиванием лишних мелочей, пока они окончательно не погребли под собой истину.",817,7 декабря,simple,4
15," Пока обстановка вокруг не станет стабильной, вам лучше не демонстрировать свои амбиции. Начальство знает, что вы справитесь с новой возможной должностью, но кроме вас существуют и другие кандидаты. Как бы ни начали развиваться события, вы в любом случае останетесь в выигрыше.",851,6 декабря,business,5
16,"Сегодня велика вероятность влюбиться в человека гораздо старше вас. Возможно, эта влюбленность быстро пройдет, оставив за собой лишь след восхищения и желания быть лучше, а может, все окажется не так просто и даже взаимно. В любом случае, попробовать стоит.",851,6 декабря,love,5
17," Вы, возможно, начнете день с рассмотрения выгодных предложений, связанных с карьерой. Если попадется что-то, заслуживающее серьезного рассмотрения - решайтесь смело, ваш выбор обещает быть удачным.",851,6 декабря,simple,5
18," Сегодня удача повернётся к вам лицом, поэтому не упускайте свой шанс! Попробуйте поучаствовать в каком-нибудь конкурсе или лотерее. А если вы всё-таки не до конца доверяете фортуне, оставьте область игр и обратитесь к заброшенному делу, над решением которого вы бьётесь уже долгое время. Будьте уверены, сейчас всё получится.",876,5 декабря,business,6
19,"В этот день вам будет казаться, что все, что происходит вокруг вас – неправильно, и вы заслуживаете куда лучшего обращения с вами, равно как и лучших условий жизни. Ваш любимый человек обеспечить вам их будет не в состоянии, поэтому ваш гнев распространится еще и на него.",876,5 декабря,love,6
20," Чем шире вы распахнете двери, тем больше света, свежего воздуха и гостей в них войдет. Впрочем, последних можно и отфильтровать. Собаку, например, не кормить.",876,5 декабря,simple,6
21," Сегодняшний день прекрасно подходит для начала разработки новой рекламной кампании для вашей организации. Идеи, которые вы воплотите в жизнь, найдут отклик у ваших потенциальных покупателей, и принесут очень хорошие результаты. Вы сможете существенно поправить свои дела.",808,4 декабря,business,7
22,Постарайтесь сегодня быть максимально уверенным в ваших силах. Только в этом случае вы добьётесь благосклонности интересного вам представителя противоположного пола или же нужной реакции вашего ныне существующего любимого человека. Терпение и труд все перетрут.,808,4 декабря,love,7
23," Все то, от чего вы так стремитесь избавиться, настойчиво продолжает следовать за вами. Возможно, стоит сделать вид, что это вас устраивает, тогда отстанут.",808,4 декабря,simple,7
24," У вас появится прекрасный шанс снять с себя какую-то часть своей работы и освободить вечер для более приятных дел. Высока вероятность того, что вам поступят предложения сотрудничества с теми фирмами, которых бы вы хотели видеть своим компаньонами.",855,3 декабря,business,8
25,"Сегодня вы будете склонны к философствованию, темы ваши рассуждений будут преимущественно абстрактными. Причем вам будет необходимо, чтобы ваш любимый человек обязательно рассуждал о вечном вместе с вами. Его же такая перспектива будет привлекать довольно мало — возможны конфликты.",855,3 декабря,love,8
26," Не стоит винить других в том, что лужа, в которой вы сидите, слишком глубока или чересчур холодна, даже если они действительно в этом виноваты. Лучше вылезайте из нее, сколько же можно головастиков пугать.",855,3 декабря,simple,8
27," Сегодня не торопитесь клеймить кого-то позором за недальновидность. Вполне вероятно, что это такой стратегический ход, слишком хитрый, чтобы его можно было осознать стороннему наблюдателю. В любом случае, иной роли вам нынче не добиться, ток что остается лишь следить за развитием событий.",947,2 декабря,business,9
