,text,length,date,type,index in posts,is_unique
0,"и снова на вас навалился груз работы, а у вас, как нарочно, сейчас обнаружилась масса важных дел вне службы. придётся как-то выкручиваться. возможно, удастся попросить у начальства уйти пораньше или уговорить коллегу немного разгрузить вас.",240,12 декабря,business,0,True
1,"сегодня вам предстоит долгий поход по кино, кафе, ресторанам, театрам... возможны вариации, но всё равно культурная жизнь будет кипеть. и всё это благодаря вашему любимому человеку! так что вам решать, говорить ему за такой наполненный график спасибо или же наоборот отругать как следует.",288,12 декабря,love,0,True
2,"сегодня вас ожидает необходимость общаться с большим количеством людей. возможно - это будет шумная вечеринка, может быть - что-либо иное. если вы не хотите, или не можете быть душой общества в этот день, не чувствуйте неловкости - вы же не актер.",247,12 декабря,simple,0,True
3,"сегодняшний день готовит вам множество встреч и знакомств, которые очень пригодятся для продвижения по карьерной лестнице. но также вы можете столкнуться и с разными видами трудностей, вам будет нелегко наладить контакт с некоторыми людьми. призовите на помощь ваше чувство юмора.",280,11 декабря,business,1,True
4,"сегодня вам не стоит ни на что отвлекаться во время общения с вашим любимым человеком. он расценит это как неуважение к нему и полное нежелание с ним общаться, что может повлечь за собой обиды, ссоры и другие конфликты, которые вам не будут приятны, а вашим отношениям – полезны.",279,11 декабря,love,1,True
5,"ваше изысканное остроумие с легким оттенком язвительности сегодня не будет иметь успеха. более того, проявляя его на людях, вы рискуете своим здоровьем. если не можете сдержаться - язвите по телефону.",200,11 декабря,simple,1,True
6,"сегодня у вас явно не самое лучшее настроение, какое может быть. такое впечатление, что вы опять чем-то недовольны. вам снова покажется, что удача обходит вас стороной, но стоит приглядеться повнимательнее, ведь отсутствие плохих новостей – это уже удача!",255,10 декабря,business,2,True
7,"выы могут весь день мечтать провести тихий вечер с семьёй, но увы, этим мечтам вряд ли суждено сбыться, если вы не сам себе хозяин. к сожалению, ваша семья сегодня на тишину и покой совершенно не настроена. не исключено, что вы предпочтете сбежать из дома в компанию друга - лишь бы вас не слишком напрягали, когда так хочется расслабиться.",346,10 декабря,love,2,True
8,"сегодня вы имеете неплохой шанс, заключая какую-либо сделку, выиграть несколько больше, чем предусмотрено условиями. вам следует быть максимально холоднокровным.",161,10 декабря,simple,2,True
9,"вы стремитесь к безупречности, в то время как решающее значение имеет затраченное на то или иное дело время. ваш подход оправдан только лишь если вы учитесь, в любом другом случае своему перфекционизму сегодня нужно будет наступить на горло.",241,9 декабря,business,3,True
10,"сегодня вы поймете, насколько беспочвенными были те переживания, которые занимали вас последние несколько недель. на самом деле, всё обстоит совершенно по-другому, и те усилия, которые вы готовы были потратить на решение проблемы, могут остаться невостребованными.",264,9 декабря,love,3,True
11,"сегодня вам будет довольно трудно найти выход для своей энергии. просто ее будет очень много, и утилизировать всю не удастся.",125,9 декабря,simple,3,True
12,"сегодня у вас вряд ли получится решить все проблемы одним махом. лучше выберите другую тактику, а именно наберитесь терпения и ждите, пока ситуация не станет меняться к лучшему. тогда и настанет ваш черед действовать и, вне всяких сомнений, ваш черед побеждать.",261,8 декабря,business,4,True
13,"это не тот день, когда исполняются все желания, но парочку все-таки можете загадать. возможно, исполнятся, особенно, если они будут касаться не материальной, а эмоциональной частоты жизни.",188,8 декабря,love,4,True
14,"сегодня практически все, что вас волновало до сих пор может быть пущено на самотек безо всякого ущерба для ваших интересов. правда, не навсегда, лишь на день. но отдохнуть-то вы успеете.",186,8 декабря,simple,4,True
15,"сегодня вам не придется долго разбираться с тем, что вам предстоит сделать по работе на следующей неделе. все задания и так будут ясны: в них не окажется ничего принципиально нового. поэтому день можете смело считать выходным и отдыхать так, как вам заблагорассудится.",268,7 декабря,business,5,True
