,text,length,date,type,index in posts,is_unique
0,"иногда стоит забыть о своих принципах, или промолчать: так, по крайней мере, вам придётся сегодня поступить. пусть вам это и не нравится, в возникшем столкновении с начальником вам следует попридержать язык, хотя правда будет на вашей стороне. но есть такая истина: начальник всегда прав, а если не прав, смотри пункт первый.",325,11 декабря,business,0,True
1,"сегодня ваш любимый человек захочет убедиться в том, что вы действительно лучший в мире человек, единственный, кто достоин считаться его половинкой. причем проверку он может устроить весьма пвытическую, сравнив вас с рядом других представителей вашего пола.",258,11 декабря,love,0,True
2,"сегодняшний день вам стоит посвятить изучению чужих ошибок в ситуации схожей с вашей. это не оставит вам времени на то, чтобы наделать собственных.",147,11 декабря,simple,0,True
3,"сегодня не самый удачный день для вложения денег или для крупных приобретений. отложите все дела, связанные с серьёзной тратой денег, на потом, а пока займитесь документами, если речь идет о работе. отдыхающим рекомендуется прибраться в доме.",242,10 декабря,business,1,True
4,"не будите в зверя в том, кто старше вас, или выше по положению! лучше вообще не попадайтесь ему на глаза — в противном случае весьма велика вероятность лишиться всякой надежды на свободное время, а значит — и на личную жизнь.",225,10 декабря,love,1,True
5,"сегодня вы будете нежным, любящим... у вас есть два варианта: либо раскрыть свои чувства полностью, дабы не оставалось неясностей, либо сидеть и помалкивать.",157,10 декабря,simple,1,True
6,"кипы бумаг на вашем столе уже достигли угрожающих размеров, и настало время что-то с этим делать. поговорите с шефом о том объеме работы, который он вам дает, возможно, он найдет выход, чтобы распределить груз работы между вами и вашим коллегой. в любом случае, дело сдвинется с мертвой точки.",293,9 декабря,business,2,True
7,"сегодня ваш любимый человек будет вовсю критиковать ваши оригинальные идеи, не предлагая ничего взамен. однако его замечания могут оказаться весьма конструктивными, и их можно использовать для усовершенствования вашей мечты. чтобы ваша половинка осталась довольна.",264,9 декабря,love,2,True
8,"сегодня вы не стесняясь можете эксплуатировать ближних, они будут просто счастливы вам угодить. необходимо только дать каждому из них понять, что он-де и есть самая незаменимая из всех личностей, имеющихся в наличии. и человек - ваш, причем с потрохами.",253,9 декабря,simple,2,True
9,"спасайтесь бегством, да поскорее. ваш самый страшный враг сегодня — ваши же благие намерения, которые заставят вас наворотить кучу глупостей, если вы не успеете предусмотрительно укрыться от мира в глухом лесу. бороться со своей деятельной натурой будет трудно, но попробовать стоит.",283,8 декабря,business,3,True
