,text,length,date,type,index in posts
0," Сегодня вам предстоит исследовательская работа, необходимая для того, чтобы хоть как-то сориентироваться в построении планов на будущее. Не вздумайте отлынивать — полагаться на авось крайне не рекомендуется.",208,11 декабря,business,0
1,"В этот день звёзды не рекомендуют вам проводить много времени на улице, пусть даже и в обществе вашего любимого человека. Постарайтесь уединиться дома, в кафе, в кино или на худой конец в транспорте, общественном или частном. Так оно вернее будет и для вас, и для него.",269,11 декабря,love,0
2," Прежде, чем вступать в беседу с малознакомым человеком, постарайтесь немного разузнать о нем. Возможно, это убережет вас от некоторых недоразумений.",149,11 декабря,simple,0
3," Перерывы на чай и кофе во время рабочего процесса очень плодотворно скажутся на его качестве. Поэтому не стесняйтесь хотя бы раз в два часа отрываться от ваших непосредственных обязанностей с целью выпить крепкой горячей и, по возможности, сладкой жидкости.",258,10 декабря,business,1
4,"Сегодня на вас нападут вялость и апатия. Поэтому если ваша половинка вздумает фонтанировать идеями и хотеть от вас всего и немедленно, ничего хорошего у нее из этой затеи не выйдет. Лучше сразу ее предупредить о том, что даже пытаться вас расшевелить не стоит.",260,10 декабря,love,1
5," Сегодняшний день может принести вам состояние беспокойства и неуверенности в себе. Вполне вероятно, что вы засомневаетесь, что поступаете правильно, хотя еще вчера были убеждены, что именно так и надо.",202,10 декабря,simple,1
6," Сегодня не торопитесь принимать важные и ответственные решения: вряд ли они приведут к желаемому результату. Больше вероятность того, что, напротив, чем больше вы будете стремиться к достижению цели, тем дальше от вас окажется эта цель. Постарайтесь всего добиться играючи.",274,9 декабря,business,2
7,"Сегодня вашему любимому человеку не придется проводить много времени за решением ваших проблем, потому что вы вполне в состоянии будете решить их самостоятельно. Его задачей будет лишь подтолкнуть вас в правильном направлении, придать нужное ускорение вашим мыслям и движениям.",277,9 декабря,love,2
8," Вы склонны брать всю ответственность за происходящее на себя, и совершенно напрасно. Позвольте другим разделить с вами этот тяжкий груз.",137,9 декабря,simple,2
9," Сегодня самый подходящий день для того, чтобы привести себя и свои мысли в порядок. На следующей неделе ни сил, ни времени у вас на это не будет, а упорядочение внутреннего мира весьма благоприятно скажется на качестве вашей работы. Поэтому будьте расслаблены и умиротворены.",276,8 декабря,business,3
10,"Сегодня даже не старайтесь перечить вашему любимому человеку: своего не добьетесь, а ссоры будет не избежать. На таком обиженном много воды не увезешь, да и тишиной насладиться не удастся: обижаться на вас будут бурно и демонстративно. Так что проще согласиться со всеми доводами вашей половинки и предоставить ей полную свободу действий.",338,8 декабря,love,3
11," Сегодня вам лучше не искать компании, у вас могут появиться трудности в общении с себе подобными. Придется удовольствоваться обществом телевизора.",147,8 декабря,simple,3
12," Не стоит сегодня драматизировать ситуацию. Не принимайте никаких важных решений, сейчас вы слишком впечатлительны, чтобы мыслить адекватно. Лучше немного выждите и в скором времени вы увидите, что все проблемы оказались гораздо менее существенны, чем вы думали.",262,7 декабря,business,4
13,"В вас и всём вашем семействе сегодня проснётся жажда деятельности. Если дело ограничится физической активностью — вам повезло, однако вы можете взяться и за разбор полетов. Этого имело бы смысл избежать.",203,7 декабря,love,4
14, Сегодня наитяжелейшей проблемой может стать решение вопроса о выборе цвета носового платка. Остальное затруднений вызывать не должно.,134,7 декабря,simple,4
15," Сегодня вам не следует слишком серьезно относиться к тому, что происходит на ваших глазах. В конце концов, все это может еще десять раз перемениться, и ваши сегодняшние действия не возымеют никаких последствий, ни позитивных, ни негативных. Не стоит и бояться.",261,6 декабря,business,5
16,"Сегодня вам стоит посвятить вместе с вашим любимым человеком время любованию природой, наслаждению свежим воздухом и восторгам по поводу того, что у природы нет плохой погоды. Постарайтесь не испортить эти волшебные минуты выяснением отношений.",244,6 декабря,love,5
