,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Сегодняшний день принесет вам отдохновение от забот и неприятностей, в которые вы имели неосторожность попадать в последнее время. Правда, ненадолго, ведь без них тоже скучно.

Бизнес-гороскоп на 11 декабря 2019 года 
 Сегодня вы будете сверхактивны и невероятно предприимчивы, у вас появится масса идей по поводу источников дополнительного заработка. Главное, реально оцените свои возможности и выберете тот вариант, который будет максимально комфортным для вас.

Любовный гороскоп на 11 декабря 2019 года
В том, что вам скажет ваша половинка сегодня, не будет никакого подтекста! И даже не пытайтесь его найти. Вам скажут ровно столько, сколько думают: ни словом меньше, ни мыслью больше. Поэтому если вы вдруг найдете в сказанном тайный смысл – что ж, у вас богатая фантазия.",814,11 декабря
1,"Гороскоп на 10 декабря 2019 года 
 Сегодня всякие поползновения к сотрудничеству с вами будут на корню задавлены могучею вашей индивидуальностью. Постарайтесь хоть человека не покалечить.

Бизнес-гороскоп на 10 декабря 2019 года 
 Сегодня наконец-то вы сможете завершить переговоры, которые тянулись так долго. Радует то, что и в дальнейшем в работе с вашим партнером не возникнет никаких серьезных недоразумений и конфликтов. Хороший повод для того, чтобы ещё раз убедиться, что вы великолепно справляетесь со своими обязанностями.

Любовный гороскоп на 10 декабря 2019 года
Кажется, ваши проблемы гораздо серьезнее, чем вы думаете. Один чмоком в щёчку и словом «прости» здесь не обойдётся, придётся принимать более решительные и кардинальные меры. Сегодня замечательный день для их совместного обдумывания. И даже для начала применения их на практике.",854,10 декабря
2,"Гороскоп на 9 декабря 2019 года 
 Сегодня у вас могут возникнуть неприятности с друзьями или семьей. Постарайтесь не слишком на них обижаться, иначе извиняться придется вам же.

Бизнес-гороскоп на 9 декабря 2019 года 
 Сегодняшний день вам, скорее всего, придется посвятить решению домашних проблем и регулированию внутрисемейных отношений. Но это того будет стоить, ведь вам всегда нужен рядом тот, кто бы вас выслушал и помог вам, так сделайте же так, чтобы с этим человеком у вас не было недомолвок.

Любовный гороскоп на 9 декабря 2019 года
Сегодня вам опять придется вспомнить, чем дружба отличается от любви и почему нельзя одно с другим смешивать. Или можно: это зависит от вашего настроя и отношения к конкретному человеку. Звезды желают вам сегодня принять правильное решение и потом ни секунды не мучиться в сомнениях.",829,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Даже если у вас будут весьма серьезные причины лгать и притворяться, остерегайтесь этим заниматься. Сегодня не получится.

Бизнес-гороскоп на 8 декабря 2019 года 
 Не торопитесь принимать решения сегодня: скорее всего, они окажутся поспешными и недостаточно зрелыми. Работайте медленно и размеренно – тогда ваши действия принесут куда лучший результат.

Любовный гороскоп на 8 декабря 2019 года
Тельцы могут узнать о любимом человеке нечто новое, если сегодня проявят внимание к мелочам. Стоит попробовать, если, конечно, вы не считаете любимого полным совершенством и не боитесь разрушить эту идеальную картину каким-то не совсем вписывающимся в неё нюансом.",694,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Как известно, не попробуешь - не узнаешь. Сегодня это должно стать вашим девизом.

Бизнес-гороскоп на 7 декабря 2019 года 
 Такое впечатление, что кто-то чересчур злоупотребляет вашей добротой и отзывчивостью. Присмотритесь повнимательнее к тому человеку, которому вы уже не в первый раз оказываете услугу. Так ли он нуждается в вашей постоянной поддержке? Возможно, он просто-напросто сел вам на шею.

Любовный гороскоп на 7 декабря 2019 года
В этот день вашему некогда любимому человеку вздумается вернуть вашу любовь, возобновить ваши отношения и начать переписывать вашу историю с чистого листа, белого, как свежевыпавший снег. Но вы-то помните, что этот самый снег скрыл от ваших глаз. А ведь когда-нибудь он растает.",757,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 Сегодня вам обязательно должно повезти. Ваша задача - разглядеть, в чем же именно вам повезло.

Бизнес-гороскоп на 6 декабря 2019 года 
 Сегодня вам вряд ли удастся реализоваться в профессиональном плане. А вот помочь в этом кому-либо получится без проблем. Придется вам вздохнуть тяжело и заняться благотворительностью, ибо что не сделаешь ради того, чтобы завтра Фортуна улыбнулась и тебе.

Любовный гороскоп на 6 декабря 2019 года
Сегодня вам не стоит доводить себя до предела. Если чувствуете, что вот-вот взорветесь – лучше остановитесь и переведите дух. В противном случае, вашему любимому человеку придется потом проходить курс психологической реабилитации.",699,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Сегодняшние события вселят в ваше сердце уверенность, что время еще есть, и вы многое можете успеть. Успевайте прямо сейчас, зачем же откладывать?

Бизнес-гороскоп на 5 декабря 2019 года 
 Сегодня благоприятный день для профессионального самосовершенствования. Освойте новую методику старого дела, посоветуйтесь со знатоками и умельцами в вашей области, почитайте специальную литературу. Не пожалеете: со временем труды окупятся сторицей.

Любовный гороскоп на 5 декабря 2019 года
Сегодня на вас нападёт беспричинная ностальгия по безвременно ушедшей любви. Даже если вы сейчас счастливы с вашей половинкой и вам больше никого и ничего не надо, мелодия, картинка или фраза из прошлого вернёт вас на несколько лет назад, вы вспомните те, некогда любимые глаза и захотите вернуться в прошлое... Хоть ненадолго.",843,5 декабря
7,"Гороскоп на 4 декабря 2019 года
 Не полагайтесь на хорошую память сегодня, ни на свою, ни на чью-либо еще. Вам либо придется плутать по городу, забыв адрес, либо вы попадете в неловкую ситуацию, запамятовав имя собеседника. В любом случае, лучше все записывать.

Бизнес-гороскоп на 4 декабря 2019 года 
 Сегодня вам не стоит слишком много рассказывать вашим близким и любимым людям о вашей работе. Во-первых, они вряд ли поймут все то, что вы им скажете, в полном объеме, а во-вторых, любые воспоминания о трудовой деятельности будут для нее же более чем неблагоприятны.

Любовный гороскоп на 4 декабря 2019 года
Сегодня кто-то будет очень нуждаться в вашей заботе. В смысле, вас и вашей половинки. По отдельности вам не справиться. Совместный труд, хоть и не для вашей пользы, очень облагораживает, да и сближает несказанно. В этот день ваше Мы очень повзрослеет и даже, возможно, выйдет на новый этап развития.",914,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Сегодня вы должны приоткрыть для себя завесу некоторой тайны. Сами ли вы это сделаете, или вас просто посвятят в нее насильственным образом - зависит от обстоятельств.

Бизнес-гороскоп на 3 декабря 2019 года 
 Сегодня вам предстоит выяснить, что именно думает о вас ваш коллега, причем узнаете вы об этом самым неожиданным для вас образом в обстановке, весьма далекой от рабочей. Постарайтесь сделать из полученных сведений важные выводы, дабы они не помешали вашей работе в дальнейшем.

Любовный гороскоп на 3 декабря 2019 года
Будьте терпимы. Да, это трудно. Ваша половинка – далеко не подарок, так что неудивительно, что вам периодически хочется от нее куда-нибудь сбежать. Но раз вы вместе – значит, вам это зачем-то нужно. Придется терпеть и либо пресекать скандалы и капризы, либо им потакать. Выбор остается за вами.",858,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Хотя содержание, обычно, и считается моментом более важным, нежели форма, сегодня вам стоит позаботится именно о внешней красоте. Да и самому приятно посмотреть будет.

Бизнес-гороскоп на 2 декабря 2019 года 
 Сегодня бодрая музыка будет весьма способствовать вашей трудовой активности. Постарайтесь делать все в ее ритме, не отставая и даже по возможности обгоняя. Возможно, вам тогда удастся покончить с вашими делами куда быстрее, чем обычно, и оставить время на дополнительное чаепитие.

Любовный гороскоп на 2 декабря 2019 года
Сегодня вам стоит очень быстро расквитаться с вашими делами, чтобы уделить наконец как можно больше времени вашему любимому человеку. Ему настолько не хватает вашего внимания, что каждая совместная минутка будет восприниматься им как самое настоящее счастье.",826,2 декабря
