,text,length,date,type,index in posts
0," Сегодня не скрывайте своих чувств, будьте открыты, честны и забудьте про лицемерие. Ведь это так чудесно, когда вы учитесь видеть мир в светлых тонах и замечать в людях больше положительных черт, нежели отрицательных. Такой позитивный подход к делам поможет вам с легкостью со всем справиться.",866,11 декабря,business,0
1,"Сегодня вашему любимому человеку будет очень важно осознавать, что и для вас общение с ним что-то значит, что его чувства к вам и заботы о вас не напрасны и не направлены в бездушную пустоту. Сделайте всё возможное для того, чтобы ваша половинка почувствовала себя нужной вам.",866,11 декабря,love,0
2," Прежде чем отправляться в путешествие по неизведанным мирам, постарайтесь завершить все имеющиеся неотложные дела, ибо времени оно может занять больше, чем вы предполагаете.",866,11 декабря,simple,0
3," Сегодня вам будет просто дать какое-то обещание, но крайне нелегко заставить себя его выполнить. Лень ваша наверняка одержит победу над здравым смыслом и чувством долга. Что ж, иногда приходится и проигрывать.",762,10 декабря,business,1
4,"Сегодня вы будете настолько увлечены учебой или работой, что будете с трудом замечать вашего любимого человека и его попытки обратить на себя ваше внимание. Впрочем, звезды все же рекомендуют это сделать, иначе взаимопонимание из ваших отношений может уйти более чем надолго.",762,10 декабря,love,1
5, Сегодняшний день может ознаменоваться потерей чего-то давно знакомого. Постарайтесь не ссориться со старыми друзьями - подобного рода утраты невосполнимы.,762,10 декабря,simple,1
6," Удачный день для интеллектуальной работы. Полезно и продуктивно было бы заняться чтением профессиональной литературы – все будет предельно ясно и прочитанное положительно повлияет на ваш карьерный рост. А если вдруг решите заняться повышением квалификации, то и тут ваши труды не пройдут зря.",808,9 декабря,business,2
7,"В этот день вам покажется, что вы знакомы с вашим любимым человеком совсем не долго, буквально несколько минут. Он снова станет для вас загадочным, непостижимым и удивительным человеком, тайной, которую непременно надо раскрыть. Только не торопитесь, получите удовольствие от процесса!",808,9 декабря,love,2
8," Как известно, война - ерунда, главное - маневры. Ваши проблемы несложно решить, надо лишь найти верный подход.",808,9 декабря,simple,2
9, Сегодня не стоит отказываться от заманчивых финансовых предложений. Если у вас запланирована деловая встреча – идите на неё уверенно. Её результат вас приятно удивит. А если вам еще и сделку удастся заключить...,779,8 декабря,business,3
10,"Сегодня вам стоит поговорить с вашим любимым человеком о высоком и глубоком. Но не об Эйфелевой башне и Марианской впадине, а о культуре, искусстве, поэзии, философии и других интереснейших вещах. Вам наверняка есть о чем сказать друг другу и какими мнениями обменяться.",779,8 декабря,love,3
11," Сегодня вам будет трудно усидеть на месте. Постарайтесь не очень разбрасываться, хватаясь за всякую мелочь. Упорядочьте свои усилия и бросьте их на борьбу с чем-то определенным.",779,8 декабря,simple,3
12," Сегодня вам не рекомендуется много рассказывать о ваших трудовых подвигах тем, кто вряд ли способен будет их оценить по достоинству. Если вам требуется яркая и качественная обратная связь, лучше попросите внимания коллеги.",701,7 декабря,business,4
13,"Сегодня какая-то трудная задача, ответственность за решение которой вы так долго не могли взять на себя, решится довольно быстро и просто благодаря тому, что решать её вы будете вместе с вашим любимым человеком. Вместе всегда всё делается проще, быстрее и веселее.",701,7 декабря,love,4
14," Сегодня все будет именно так, как вам хотелось бы, и даже немного лучше. Примите поздравления.",701,7 декабря,simple,4
15," Только ваша целеустремленность в этот день поможет вам достигнуть всех поставленных перед вами трудовых целей и выйти победителем из любых неблагоприятных ситуаций, которые возникнут на вашем пути. Впрочем, любой положительный результат вашей деятельности будет оценен по достоинству.",868,6 декабря,business,5
16,"В этот день вашему любимому человеку будет довольно трудно уступить вам в каком-то споре: он будет настаивать на своем бесконечно, что окажется для вас раздражающим фактором. Постарайтесь сдерживать свои эмоции и, в крайнем случае, перенести серьезную беседу на завтра.",868,6 декабря,love,5
17," День для вас начнется с созерцательной, а закончится активной деятельностью. Если вы не желаете напрягать мускулатуру, лучше не присутствовать при чьих-то трудах в качестве зрителя - кооптируют.",868,6 декабря,simple,5
18," Высока вероятность того, что сегодня в рабочей сфере сложится довольно зыбкая и изменчивая ситуация. Сложные переговоры на высшем уровне способны немного поколебать ваш размеренный ритм работы и привнести новые проблемы во внутренние дела компании.",862,5 декабря,business,6
19,"Сегодня вашему любимому человеку очень захочется получить от вас какое-то вещественное доказательство ваших чувств. Письмо, открытку, маленький подарок - всё, что можно подержать в руках и сохранить на добрую память об этом этапе ваших отношений, каким бы он ни был.",862,5 декабря,love,6
20," Похоже, ваши планы подразумевают настолько большое количество всевозможных дел, что основной проблемой сегодня может стать извечное с чего начать?. Начинайте с того, что ближе лежит, меньше времени на перемещения потратите.",862,5 декабря,simple,6
