,text,length,date,type,index in posts
0," Иногда стоит забыть о своих принципах, или промолчать: так, по крайней мере, вам придётся сегодня поступить. Пусть вам это и не нравится, в возникшем столкновении с начальником вам следует попридержать язык, хотя правда будет на вашей стороне. Но есть такая истина: начальник всегда прав, а если не прав, смотри пункт первый.",326,11 декабря,business,0
1,"Сегодня ваш любимый человек захочет убедиться в том, что вы действительно лучший в мире человек, единственный, кто достоин считаться его половинкой. Причем проверку он может устроить весьма практическую, сравнив вас с рядом других представителей вашего пола.",258,11 декабря,love,0
2," Сегодняшний день вам стоит посвятить изучению чужих ошибок в ситуации схожей с вашей. Это не оставит вам времени на то, чтобы наделать собственных.",148,11 декабря,simple,0
3," Сегодня не самый удачный день для вложения денег или для крупных приобретений. Отложите все дела, связанные с серьёзной тратой денег, на потом, а пока займитесь документами, если речь идет о работе. Отдыхающим рекомендуется прибраться в доме.",243,10 декабря,business,1
4,"Не будите в зверя в том, кто старше вас, или выше по положению! Лучше вообще не попадайтесь ему на глаза — в противном случае весьма велика вероятность лишиться всякой надежды на свободное время, а значит — и на личную жизнь.",225,10 декабря,love,1
5," Сегодня вы будете нежным, любящим... У вас есть два варианта: либо раскрыть свои чувства полностью, дабы не оставалось неясностей, либо сидеть и помалкивать.",158,10 декабря,simple,1
6," Кипы бумаг на вашем столе уже достигли угрожающих размеров, и настало время что-то с этим делать. Поговорите с шефом о том объеме работы, который он вам дает, возможно, он найдет выход, чтобы распределить груз работы между вами и вашим коллегой. В любом случае, дело сдвинется с мертвой точки.",294,9 декабря,business,2
7,"Сегодня ваш любимый человек будет вовсю критиковать ваши оригинальные идеи, не предлагая ничего взамен. Однако его замечания могут оказаться весьма конструктивными, и их можно использовать для усовершенствования вашей мечты. Чтобы ваша половинка осталась довольна.",264,9 декабря,love,2
8," Сегодня вы не стесняясь можете эксплуатировать ближних, они будут просто счастливы вам угодить. Необходимо только дать каждому из них понять, что он-де и есть самая незаменимая из всех личностей, имеющихся в наличии. И человек - ваш, причем с потрохами.",254,9 декабря,simple,2
9," Спасайтесь бегством, да поскорее. Ваш самый страшный враг сегодня — ваши же благие намерения, которые заставят вас наворотить кучу глупостей, если вы не успеете предусмотрительно укрыться от мира в глухом лесу. Бороться со своей деятельной натурой будет трудно, но попробовать стоит.",284,8 декабря,business,3
10,"Сегодня вашему любимому человеку будут очень мешать посторонние люди. Они не позволят ему сосредоточиться на своих отношениях с вами, а значит, не будут способствовать его искренности и открытости по отношению к вам. Может быть, их общества можно как-то избежать?..",265,8 декабря,love,3
11," Сегодня вы можете позволить себе пойти на некоторый риск. Есть неплохой шанс, что прибыль покроет потери с лихвой. Однако, следует, все же, быть осмотрительным и не заходить слишком далеко.",190,8 декабря,simple,3
12," Если вы сегодня и будете работать, то только под покровом ночи, чтобы никто не поймал вас за этим подозрительным и неблагонравным в выходной-то день делом. Что ж, игра в разведчиков и шпионов способствует развитию воображения, реакции и повышению уровня адреналина в крови.",274,7 декабря,business,4
