,text,length,date,type,index in posts
0," И снова на вас навалился груз работы, а у вас, как нарочно, сейчас обнаружилась масса важных дел вне службы. Придётся как-то выкручиваться. Возможно, удастся попросить у начальства уйти пораньше или уговорить коллегу немного разгрузить вас.",899,12 декабря,business,0
1,"Сегодня вам предстоит долгий поход по кино, кафе, ресторанам, театрам... Возможны вариации, но всё равно культурная жизнь будет кипеть. И всё это благодаря вашему любимому человеку! Так что вам решать, говорить ему за такой наполненный график спасибо или же наоборот отругать как следует.",899,12 декабря,love,0
2," Сегодня вас ожидает необходимость общаться с большим количеством людей. Возможно - это будет шумная вечеринка, может быть - что-либо иное. Если вы не хотите, или не можете быть душой общества в этот день, не чувствуйте неловкости - вы же не актер.",899,12 декабря,simple,0
3," Сегодняшний день готовит вам множество встреч и знакомств, которые очень пригодятся для продвижения по карьерной лестнице. Но также вы можете столкнуться и с разными видами трудностей, вам будет нелегко наладить контакт с некоторыми людьми. Призовите на помощь ваше чувство юмора.",883,11 декабря,business,1
4,"Сегодня вам не стоит ни на что отвлекаться во время общения с вашим любимым человеком. Он расценит это как неуважение к нему и полное нежелание с ним общаться, что может повлечь за собой обиды, ссоры и другие конфликты, которые вам не будут приятны, а вашим отношениям – полезны.",883,11 декабря,love,1
5," Ваше изысканное остроумие с легким оттенком язвительности сегодня не будет иметь успеха. Более того, проявляя его на людях, вы рискуете своим здоровьем. Если не можете сдержаться - язвите по телефону.",883,11 декабря,simple,1
6," Сегодня у вас явно не самое лучшее настроение, какое может быть. Такое впечатление, что вы опять чем-то недовольны. Вам снова покажется, что удача обходит вас стороной, но стоит приглядеться повнимательнее, ведь отсутствие плохих новостей – это уже удача!",886,10 декабря,business,2
7,"Скорпионы могут весь день мечтать провести тихий вечер с семьёй, но увы, этим мечтам вряд ли суждено сбыться, если вы не сам себе хозяин. К сожалению, ваша семья сегодня на тишину и покой совершенно не настроена. Не исключено, что вы предпочтете сбежать из дома в компанию друга - лишь бы вас не слишком напрягали, когда так хочется расслабиться.",886,10 декабря,love,2
8," Сегодня вы имеете неплохой шанс, заключая какую-либо сделку, выиграть несколько больше, чем предусмотрено условиями. Вам следует быть максимально холоднокровным.",886,10 декабря,simple,2
9," Вы стремитесь к безупречности, в то время как решающее значение имеет затраченное на то или иное дело время. Ваш подход оправдан только лишь если вы учитесь, в любом другом случае своему перфекционизму сегодня нужно будет наступить на горло.",751,9 декабря,business,3
10,"Сегодня вы поймете, насколько беспочвенными были те переживания, которые занимали вас последние несколько недель. На самом деле, всё обстоит совершенно по-другому, и те усилия, которые вы готовы были потратить на решение проблемы, могут остаться невостребованными.",751,9 декабря,love,3
11," Сегодня вам будет довольно трудно найти выход для своей энергии. Просто ее будет очень много, и утилизировать всю не удастся.",751,9 декабря,simple,3
12," Сегодня у вас вряд ли получится решить все проблемы одним махом. Лучше выберите другую тактику, а именно наберитесь терпения и ждите, пока ситуация не станет меняться к лучшему. Тогда и настанет ваш черед действовать и, вне всяких сомнений, ваш черед побеждать.",756,8 декабря,business,4
13,"Это не тот день, когда исполняются все желания, но парочку все-таки можете загадать. Возможно, исполнятся, особенно, если они будут касаться не материальной, а эмоциональной частоты жизни.",756,8 декабря,love,4
14," Сегодня практически все, что вас волновало до сих пор может быть пущено на самотек безо всякого ущерба для ваших интересов. Правда, не навсегда, лишь на день. Но отдохнуть-то вы успеете.",756,8 декабря,simple,4
15," Сегодня вам не придется долго разбираться с тем, что вам предстоит сделать по работе на следующей неделе. Все задания и так будут ясны: в них не окажется ничего принципиально нового. Поэтому день можете смело считать выходным и отдыхать так, как вам заблагорассудится.",771,7 декабря,business,5
16,"Сегодня не стоит слишком усложнять то, что происходит между вами и тем, по кому вы вздыхаете по ночам. Нынче вы будете склонны к тяжелым раздумьям, и было бы неплохо, если бы вам удалось не довести себя до депрессии.",771,7 декабря,love,5
17," Так трудно сохранять терпение, находясь на пороге больших и очень важных для вас событий. Тем не менее придется, в противном случае вы рискуете помешать им произойти.",771,7 декабря,simple,5
18," Неожиданно ваши планы могут быть нарушены плохим самочувствием, что вы никак не можете допустить. Как только почувствуете, что теряйте контроль над ситуацией, сбавляйте темп, чтобы продолжать хоть как-то держать руку на пульсе. Будьте внимательны и помните о мелочах.",864,6 декабря,business,6
19,"Сегодня вы узнаете, насколько ваш любимый человек зависим от вас - и вам вполне может стать страшно. Вам даже может захотеться срочно от него отдалиться с той целью, чтобы не значить для него так много, однако звёзды не советуют этого делать. Лучше принять ситуацию такой, какая она есть.",864,6 декабря,love,6
20," В вас поселился свежеразбуженный зверь. Если не хотите неприятностей со здоровьем, его лучше выпустить на волю, хотя это может повлечь порчу интерьера того помещения, где он будет выпущен.",864,6 декабря,simple,6
21," Решительность в этот день вам явно не повредит. Звезды уверены в том, что если вы возьмете быка за рога, фортуна улыбнется вам с куда большей вероятностью, чем если вы будете пассивно ждать у моря погоды. Даже если как правило это не ваш стиль жизни, на сегодня его придется поменять.",803,5 декабря,business,7
22,"Сегодня вам будет довольно трудно смириться с тем, что ваш любимый человек прав, а вы нет. Постарайтесь все же это принять. В конце концов, завтра ситуация может оказаться абсолютно противоположной – и тогда будет его очередь расстраиваться.",803,5 декабря,love,7
23," Сегодня не стоит слишком ограничивать себя морально-этическими нормами. Удовлетворите пару-тройку своих желаний, в противном случае, они вас со свету сживут.",803,5 декабря,simple,7
24," Сегодня внимательно прислушивайтесь к тому, что говорят вокруг. Молва - очень полезный источник информации, не стоит её недооценивать. А если вы считаете, что информация, поступившая к вам, ложная, тогда создайте себе сами благоприятную среду, запустив выгодные вам слухи.",758,4 декабря,business,8
25,"Ваши дела, Скорпионы, сегодня, очевидно, ощутимо пойдут в гору. Если вы хотите поехать отдыхать семьей в ближайшее время, подготовку лучше назначить именно на нынешний день – это гарантия того, что ваши планы не сорвутся.",758,4 декабря,love,8
26," Сегодня вам не придется задумываться о дне завтрашнем, слишком большого внимания и сил потребует настоящий. День будет тяжелым, но плодотворным.",758,4 декабря,simple,8
27," Сегодня вам рекомендуется как следует выспаться. Именно во сне вам, как некогда Менделееву, могут прийти в голову самые гениальные мысли. Главное – не забудьте положить под подушку блокнот и ручку. Утром вам будет, над чем призадуматься. Или посмеяться.",826,3 декабря,business,9
28,"Подходящий день для флирта посредством электронных помощников: мобильного телефона, интернета и даже микрофона, если вы придумаете, как его использовать для подобных целей. Сегодня техника – ваш лучший друг и главный помощник на пути к личному счастью.",826,3 декабря,love,9
29," Сегодня вас ожидает столь напряженный день, что не только перекурить - вздохнуть будет некогда. Будьте осторожны с новыми людьми, которых вы встретите нынче - они могут стать источником неприятностей.",826,3 декабря,simple,9
30," В начале дня у вас возможны некоторые разочарования: вы можете не получить того, что ожидали. Но не стоит расстраиваться, ведь это только небольшое, пусть и весьма досадное, недоразумение, которое лишь слегка омрачит благоприятный период, который сейчас для вас наступил.",809,2 декабря,business,10
31,"Ваша половинка приготовила вам сюрприз, причем, кажется, не очень приятный. Это, конечно, не повод устраивать соревнование по киданию тарелок в движущуюся цель, но разобраться в происходящем все же стоит. Это позволит вашим отношениям перейти на новый уровень.",809,2 декабря,love,10
32," Сегодня ваш оптимизм будет настолько силен, что вы сможете справиться практически с любым делом. Отсутствие страха потерпеть неудачу очень помогает в работе.",809,2 декабря,simple,10
33," Для тех Скорпионов, кто по-прежнему находится в поисках стабильной работы, сегодня очень удачный день. Не отчаиваетесь, если вы посещаете уже не первое и даже не десятое собеседование, но получаете отказ. В этот день всё должно решиться, так что, ваши искания, скорее всего, подошли к концу.",889,1 декабря,business,11
34,"Узнайте, чем живет и дышит ваш любимый человек. Прочитайте его любимую книгу, попросите у него диск, под который он каждый вечер засыпает. Это поможет вам лучше его понять и, соответственно, сильнее полюбить. Кстати, если он захочет сделать все то же самое, значит, вы действительно отличная пара!",889,1 декабря,love,11
35," Сегодня вам, возможно, придется столкнуться с таким малоприятным явлением как сплетни. Увы, в них придется основательно покопаться, если желаете узнать, как все было на самом деле.",889,1 декабря,simple,11
36," Сегодняшний день удивительно хорош для продвижения вперед и вверх. Скорее всего, воспользоваться вы этим не сумеете, но если все же удастся — поздравляем. В выходные это непросто.",729,30 ноября,business,12
37,"В этот день в вашу жизнь придет настоящая сказка. Только вот будете вы в ней положительным или отрицательным героем – зависит только от вас. В первом случае вас ждет исполнение самой заветной мечты, пир горой и долгое счастье. Во втором же вы будете повержены, и счастья вам еще будет долго не видать.",729,30 ноября,love,12
38," Сегодня, пытаясь сделать что-то полезное, вы просто потеряете время. Займитесь лучше чем-нибудь приятным. Совместить не удастся.",729,30 ноября,simple,12
39," В этот день вам категорически нельзя кривить душой, даже если вы собираетесь всего лишь пошутить. Особенную осторожность следует соблюдать в отношениях с коллегами.",772,29 ноября,business,13
