,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Сегодняшний день может оказаться для вас чрезвычайно дорогостоящим. Спасти от этой напасти сможет вовремя подоспевшая дружеская помощь, так что неплохо бы заранее заручиться чьей-либо поддержкой.

Бизнес-гороскоп на 11 декабря 2019 года 
 Сегодня вам не следует чересчур много думать на тему вашей непосредственной трудовой деятельности. Она будет делаться сама по себе, в независимости от вашего желания или нежелания. Постарайтесь однако не пускать ее совсем уж на самотек: хотя бы как-то за ней приглядывайте.

Любовный гороскоп на 11 декабря 2019 года
Не стоит заходить за черту и перегибать палку. Если ваш любимый человек не хочет вам о чем-то рассказывать, прячется от вас, закрывается – то не надо ни на чём настаивать. Правды вы всё равно не добьётесь, а вот на грубость нарваться можете. И вы даже не представляете на какую!",870,11 декабря
1,"Гороскоп на 10 декабря 2019 года 
 Сделайте подарок сегодня. Неважно кому, какой и по какому поводу.

Бизнес-гороскоп на 10 декабря 2019 года 
 Сегодня, прежде чем зарыться с головой в неотложные дела, порадуйтесь тем, что в этот день усердие будет вознаграждено. Хорошо поработав, вы сумеете уйти далеко вперёд и оставить позади всех своих конкурентов. Главное на этот день - не становиться зачинщиком споров и никого не провоцировать.

Любовный гороскоп на 10 декабря 2019 года
Сегодня ваш любимый человек всеми силами будет стараться отвлечь вас от какого-то важного дела, которому вы захотите себя посвятить целиком и полностью. Поэтому либо вам придётся терпеть его периодические выходки, либо сразу подробно и доходчиво объяснить, почему вам такое положение вещей не нравится категорически.",797,10 декабря
2,"Гороскоп на 9 декабря 2019 года
 Сегодня вам очень полезна будет способность обобщать. Если пытаться вникнуть во все то бесконечное количество мелких, но значимых компонентов картины по отдельности, можно и с ума сойти нечаянно.

Бизнес-гороскоп на 9 декабря 2019 года 
 Сегодня вам предстоит сделать значительный вклад в историю вашей фирмы. Возможно, то или иное ваше слово или дело окажутся настолько значительными, что перевернут с ног на голову весь бизнес-план и заставят ваше руководство шагать в другом направлении.

Любовный гороскоп на 9 декабря 2019 года
Сегодня вашему любимому человеку захочется поделиться с вами какой-то очень важной для него новостью или тайной. Однако вам она не покажется такой уж важной, значимой или ошеломительной. Постарайтесь, чтобы ваше истинное отношение к данной теме не обидело вашу половинку.",839,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Держитесь сегодня подальше от больших скоплений народа. Нынче весьма вероятно возникновение разного рода склок, попадать в эпицентр которых вам противопоказано. Попав же в непосредственную близость таковых, удержаться от участия вам не удастся.

Бизнес-гороскоп на 8 декабря 2019 года 
 Если вы занимаетесь тем, что помогаете клиентам выбрать тот продукт, который наиболее соответствует их запросам (о какой бы области ни шла речь), то сегодня вам придется быть очень терпеливым: возможно возникнут затруднения с одним из клиентов, но, проявив максимум изобретательности, вы с ними справитесь.

Любовный гороскоп на 8 декабря 2019 года
Самое трудное - начать. Сегодняшний день позволит вам ещё раз в этом убедиться. Впрочем, как бы трудно ни было, а первый шаг сделать придётся, иначе отношения с вашим любимым человеком могут дать небольшую трещину. А трещины имеют неприятное свойство расширяться и превращаться в разломы и разрывы...",971,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Если вас мучает чувство неудовлетворенности, сегодня у вас будет шанс от него избавиться. Только не пытайтесь сделать это чересчур кардинальным способом.

Бизнес-гороскоп на 7 декабря 2019 года 
 Перед тем, как собраться на работу, сделайте небольшую зарядку, пробегитесь вокруг дома, отожмитесь от пола пару раз. Все это поможет вам как можно быстрее проснуться и понять, кто вы, где вы и зачем. Четкое понимание этих моментов будет очень важно в контексте тех дел, которые вам предстоит сделать.

Любовный гороскоп на 7 декабря 2019 года
Сегодня вы узнаете об истинных намерениях вашего любимого человека касательно ваших с ним отношений – и почему-то не испытаете на этот счет никаких эмоций, ни положительных, ни отрицательных. Все просто останется так, как было до того, просто добавятся некоторые новые краски.",851,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 Сегодня выгодный для вас союз может развалиться из-за любой мелочи. Будьте осмотрительны, если вы и расходитесь во мнениях по какому-то вопросу, это обстоятельство лучше скрыть.

Бизнес-гороскоп на 6 декабря 2019 года 
 Сегодня вас ожидает весьма непростой день, ведь слишком много будет противоречивых событий, и вам даже покажется, что кто-то специально строит вам козни. Однако посмотрев на ситуацию под другим углом, вы поймете, что никто вовсе не собирается вас подсиживать.

Любовный гороскоп на 6 декабря 2019 года
Сегодня у Львов удачный день для совершения важных покупок для детей. Если ребёнок попросит вас купить ему велосипед или недорогой сотовый телефон, не отказывайте ему в этом удовольствии. На себя же светила тратиться не советуют – да вам, скорее всего, и не захочется.",825,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Сегодня вы будете склонны к самоедству, причем не по делу. Даже если кто-то попал в неприятную ситуацию, не последовав вашим советам, вы будете испытывать чувство вины. Дело не в том, что вы были недостаточно убедительны, просто - судьба.

Бизнес-гороскоп на 5 декабря 2019 года 
 Сегодня вам не следует безоговорочно верить словам вашего начальника. Если он обрисовывает текущую ситуацию фирмы как безнадежную или чрезмерно радужную, он наверняка что-то недоговаривает с целью вас дезинформировать. Что с таким положением вещей делать – решать вам.

Любовный гороскоп на 5 декабря 2019 года
Сегодня вашему любимому человеку будет довольно непросто вас успокоить и заставить мыслить здраво, потому что вы будете пребывать в состоянии аффекта и на подобный героизм будете практически не способны. Может быть, стоит прислушаться к тому, что говорит вам ваш близкий человек?",906,5 декабря
7,"Гороскоп на 4 декабря 2019 года 
 Не сдерживайте своего стремления к вербальному способу передачи информации. Изящество вашей манеры выражаться будет высоко оценено слушателями.

Бизнес-гороскоп на 4 декабря 2019 года 
 Сегодня вам предстоит нелегкая борьба с самим собой: одной части вашей сущности будет хотеться отдыха, свободы и блаженного ничегонеделания, а другая окажется сознательной и будет требовать от вас выполнения ваших непосредственных трудовых обязанностей, которые уже успели безмерно вам надоесть.

Любовный гороскоп на 4 декабря 2019 года
Сегодня вы закроете глаза на общественное мнение и в отношениях с вашим любимым человеком поступите так, как сами считаете нужным, никого не слушая и ничьими советами не руководствуясь. Наверное, это будет самым правильным выходом из создавшейся ситуации.",814,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Если не можете позволить себе роскоши провести этот день в путешествии, постарайтесь хоть на пару часов сменить обстановку. Душа ваша нынче будет сгорать от жажды новых впечатлений.

Бизнес-гороскоп на 3 декабря 2019 года 
 Не злитесь на своего начальника, даже если он отчитывает вас за то, к чему вы вообще не имеете отношения. Просто сообщите ему об этом. Вполне вероятно, что его ввели в заблуждение.

Любовный гороскоп на 3 декабря 2019 года
Сегодня вы будете настолько увлечены учебой или работой, что на вашего любимого человека может элементарно не остаться ни сил, ни времени. однако и он в ответ может заняться примерно тем же самым. А хочется ли вам, чтобы в этот вечер в непосредственной близости друг от друга сидело два довольно далеких друг другу человека?..",808,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Вы были несколько неаккуратны и теперь вынуждены будете напрягать все силы, чтобы справится с поставленной перед вами задачей. Это вполне возможно, хотя и не легко, впредь же будьте осторожнее, раздавая обещания.

Бизнес-гороскоп на 2 декабря 2019 года 
 Иногда вам приходится заниматься тем, что вас совсем не привлекает в вашей профессии, и сегодняшний день будет тому явным примером. Но научитесь получать хоть какое-то удовольствие от проделываемой работы, так, по крайней мере, вы не будете чувствовать, что ваш труд пропадает даром.

Любовный гороскоп на 2 декабря 2019 года
Мысли о семье будут сегодня доминировать для вас в течение всего дня. Каждую минуту вашего существования вас будет беспокоить - как там дома, все ли сыты, всё ли в порядке? Вы зря беспокоитесь. Супруг, вероятнее всего, сможет в ваше отсутствие должным образом следить за домом. А вы сомневались?",911,2 декабря
