,text,length,date,type,index in posts
0," Сегодня вы можете почувствовать незащищенность и неуверенность в собственных силах. Попробуйте проанализировать ситуацию и выяснить, что же так сильно выбило вас из колеи. Принимая во внимание вашу уязвимость, постарайтесь избегать тех ситуаций, которые требуют проявления всех стальных черт характера. Сейчас это для вас будет трудновато.",981,11 декабря,business,0
1,"Рыбам звёзды рекомендуют сегодня больше работать. Ну или хотя бы демонстрировать окружающим имитацию деятельности столь бурной, что у них бы отпало всякое желание приставать к вам со своими проблемами. Прежде всего это касается именно членов семьи - они особенно активно будут посягать на ваше внимание.",981,11 декабря,love,0
2," Если сегодня вы почувствуете робость, или, того хуже решите, что вы чего-то недостойны - немедленно отбрасывайте эту мысль, ибо она от лукавого. Единственное, что от вас сегодня потребуется - это уверенность в себе.",981,11 декабря,simple,0
3," Сегодня звезды рекомендуют вам заняться корректировкой или написанием вашего резюме. Даже если работа у вас надежная и стабильная и никаких изменений вы не планируете, вам все равно следует пребывать в твердой уверенности: на рынке рабочей силы вы не потеряетесь в любом случае.",831,10 декабря,business,1
4,"Сегодня ваш любимый человек признается в том, что ему, оказывается, никогда не нравилось в представителях противоположного пола какое-то качество, которое буйным цветом цветет в вас, и лишь вы заставили его посмотреть на это самое качество по-другому. Можете быть польщены.",831,10 декабря,love,1
5," Сегодня лучшей инвестицией в дело собственного благополучия будет любое бескорыстное деяние. Воздастся вам, конечно, не сразу, но когда-нибудь - непременно.",831,10 декабря,simple,1
6," Сегодня не слушайте советов, особенно от малознакомых людей, особенно если вам их нахваливал человек, которому вы мало доверяете. Слушайте только голос собственного разума, он подскажет вам наилучший выход из ситуации, вот только решение, возможно, придет не сразу.",957,9 декабря,business,2
7,"Посвятите этот день просмотру ваших совместных фотографий. Это позволит вам не только вспомнить атмосферу вашего счастливого прошлого, но и понять, чего вам не хватает в настоящем. Кстати, самую удачную можете сделать заставкой для рабочего стола: вашему любимому человеку это будет приятно.",957,9 декабря,love,2
8," Запаситесь парочкой хороших отмазок, сегодня вам, возможно, придется оправдываться. Можно, конечно, попытаться объяснить, что претензии к вам не совсем обоснованны, однако в некоторых случаях проще и быстрее бывает демонстративно покаяться в грехах, а потом сделать все по-своему.",957,9 декабря,simple,2
9," Сегодня возможность начать с кем-то из коллег роман может негативно сказаться на вашей трудовой деятельности, однако если вы правильно расставите приоритеты, то одно другому вовсе мешать не будет. Главное – задуматься о последствиях принятого решения.",780,8 декабря,business,3
10,"В этот день вы неожиданно для себя обнаружите, что мир тесен. А значит, вы наверняка знакомы с кем-то из друзей, знакомых или родственников вашего любимого человека. Что ж, возможно, судьба таким образом хочет вам что-то сказать. Не затыкайте уши, прислушайтесь!",780,8 декабря,love,3
11," Время - самая большая драгоценность, а сегодня - особенно. Поэтому постарайтесь расходовать его максимально бережно и расчетливо, особенно с утра.",780,8 декабря,simple,3
12," Сегодня вам целый день будет казаться, что вы под прицелом. За вами тщательно присматривает Большой Брат и с нетерпением ждет, когда же вы наконец совершите ошибку. Постарайтесь не доставить ему такого удовольствия: вашего профессионализма для этого вполне достаточно.",824,7 декабря,business,4
13,"Сегодня ваш любимый человек будет понимать совсем не то, что вы будете стараться ему сказать. Кажется, он поставит перед собой цель: трактовать ваши слова наоборот, противоположным и совершенно не логичным образом. Что ж, зная об этом, вы сможете подобрать к нему нужный подход.",824,7 декабря,love,4
14," Если вы большой любитель независимости, то этот день вряд ли будет вашим. Если же вы готовы связать свою жизнь с другим - ожидайте чего-либо фантастического.",824,7 декабря,simple,4
15," Сегодня вам не придется долго настаивать на том, что именно ваш вариант дальнейшего развития вашей трудовой деятельности является единственно правильным и приемлемым в данный момент. Либо с вами сразу согласятся, либо раскритикуют. Третьего не дано.",845,6 декабря,business,5
16,"У вашей половинки сейчас непростой период в жизни. Поддержите ее. Будьте сильным плечом, на которое можно опереться. Надежным фронтом. Спасительной жилеткой. Потерпите ее плохое настроение, слезы и тяжелые вздохи. Любовь, к сожалению, - это не только романтические вечера на скамейке под луной.",845,6 декабря,love,5
