,text,length,date,type,index in posts
0," Сегодня вам не следует чересчур много думать на тему вашей непосредственной трудовой деятельности. Она будет делаться сама по себе, в независимости от вашего желания или нежелания. Постарайтесь однако не пускать ее совсем уж на самотек: хотя бы как-то за ней приглядывайте.",870,11 декабря,business,0
1,"Не стоит заходить за черту и перегибать палку. Если ваш любимый человек не хочет вам о чем-то рассказывать, прячется от вас, закрывается – то не надо ни на чём настаивать. Правды вы всё равно не добьётесь, а вот на грубость нарваться можете. И вы даже не представляете на какую!",870,11 декабря,love,0
2," Сегодняшний день может оказаться для вас чрезвычайно дорогостоящим. Спасти от этой напасти сможет вовремя подоспевшая дружеская помощь, так что неплохо бы заранее заручиться чьей-либо поддержкой.",870,11 декабря,simple,0
3," Сегодня, прежде чем зарыться с головой в неотложные дела, порадуйтесь тем, что в этот день усердие будет вознаграждено. Хорошо поработав, вы сумеете уйти далеко вперёд и оставить позади всех своих конкурентов. Главное на этот день - не становиться зачинщиком споров и никого не провоцировать.",797,10 декабря,business,1
4,"Сегодня ваш любимый человек всеми силами будет стараться отвлечь вас от какого-то важного дела, которому вы захотите себя посвятить целиком и полностью. Поэтому либо вам придётся терпеть его периодические выходки, либо сразу подробно и доходчиво объяснить, почему вам такое положение вещей не нравится категорически.",797,10 декабря,love,1
5," Сделайте подарок сегодня. Неважно кому, какой и по какому поводу.",797,10 декабря,simple,1
6," Сегодня вам предстоит сделать значительный вклад в историю вашей фирмы. Возможно, то или иное ваше слово или дело окажутся настолько значительными, что перевернут с ног на голову весь бизнес-план и заставят ваше руководство шагать в другом направлении.",839,9 декабря,business,2
7,"Сегодня вашему любимому человеку захочется поделиться с вами какой-то очень важной для него новостью или тайной. Однако вам она не покажется такой уж важной, значимой или ошеломительной. Постарайтесь, чтобы ваше истинное отношение к данной теме не обидело вашу половинку.",839,9 декабря,love,2
8," Сегодня вам очень полезна будет способность обобщать. Если пытаться вникнуть во все то бесконечное количество мелких, но значимых компонентов картины по отдельности, можно и с ума сойти нечаянно.",839,9 декабря,simple,2
9," Если вы занимаетесь тем, что помогаете клиентам выбрать тот продукт, который наиболее соответствует их запросам (о какой бы области ни шла речь), то сегодня вам придется быть очень терпеливым: возможно возникнут затруднения с одним из клиентов, но, проявив максимум изобретательности, вы с ними справитесь.",971,8 декабря,business,3
10,"Самое трудное - начать. Сегодняшний день позволит вам ещё раз в этом убедиться. Впрочем, как бы трудно ни было, а первый шаг сделать придётся, иначе отношения с вашим любимым человеком могут дать небольшую трещину. А трещины имеют неприятное свойство расширяться и превращаться в разломы и разрывы...",971,8 декабря,love,3
11," Держитесь сегодня подальше от больших скоплений народа. Нынче весьма вероятно возникновение разного рода склок, попадать в эпицентр которых вам противопоказано. Попав же в непосредственную близость таковых, удержаться от участия вам не удастся.",971,8 декабря,simple,3
12," Перед тем, как собраться на работу, сделайте небольшую зарядку, пробегитесь вокруг дома, отожмитесь от пола пару раз. Все это поможет вам как можно быстрее проснуться и понять, кто вы, где вы и зачем. Четкое понимание этих моментов будет очень важно в контексте тех дел, которые вам предстоит сделать.",851,7 декабря,business,4
13,"Сегодня вы узнаете об истинных намерениях вашего любимого человека касательно ваших с ним отношений – и почему-то не испытаете на этот счет никаких эмоций, ни положительных, ни отрицательных. Все просто останется так, как было до того, просто добавятся некоторые новые краски.",851,7 декабря,love,4
14," Если вас мучает чувство неудовлетворенности, сегодня у вас будет шанс от него избавиться. Только не пытайтесь сделать это чересчур кардинальным способом.",851,7 декабря,simple,4
15," Сегодня вас ожидает весьма непростой день, ведь слишком много будет противоречивых событий, и вам даже покажется, что кто-то специально строит вам козни. Однако посмотрев на ситуацию под другим углом, вы поймете, что никто вовсе не собирается вас подсиживать.",825,6 декабря,business,5
16,"Сегодня у Львов удачный день для совершения важных покупок для детей. Если ребёнок попросит вас купить ему велосипед или недорогой сотовый телефон, не отказывайте ему в этом удовольствии. На себя же светила тратиться не советуют – да вам, скорее всего, и не захочется.",825,6 декабря,love,5
17," Сегодня выгодный для вас союз может развалиться из-за любой мелочи. Будьте осмотрительны, если вы и расходитесь во мнениях по какому-то вопросу, это обстоятельство лучше скрыть.",825,6 декабря,simple,5
18," Сегодня вам не следует безоговорочно верить словам вашего начальника. Если он обрисовывает текущую ситуацию фирмы как безнадежную или чрезмерно радужную, он наверняка что-то недоговаривает с целью вас дезинформировать. Что с таким положением вещей делать – решать вам.",906,5 декабря,business,6
19,"Сегодня вашему любимому человеку будет довольно непросто вас успокоить и заставить мыслить здраво, потому что вы будете пребывать в состоянии аффекта и на подобный героизм будете практически не способны. Может быть, стоит прислушаться к тому, что говорит вам ваш близкий человек?",906,5 декабря,love,6
20," Сегодня вы будете склонны к самоедству, причем не по делу. Даже если кто-то попал в неприятную ситуацию, не последовав вашим советам, вы будете испытывать чувство вины. Дело не в том, что вы были недостаточно убедительны, просто - судьба.",906,5 декабря,simple,6
21," Сегодня вам предстоит нелегкая борьба с самим собой: одной части вашей сущности будет хотеться отдыха, свободы и блаженного ничегонеделания, а другая окажется сознательной и будет требовать от вас выполнения ваших непосредственных трудовых обязанностей, которые уже успели безмерно вам надоесть.",814,4 декабря,business,7
22,"Сегодня вы закроете глаза на общественное мнение и в отношениях с вашим любимым человеком поступите так, как сами считаете нужным, никого не слушая и ничьими советами не руководствуясь. Наверное, это будет самым правильным выходом из создавшейся ситуации.",814,4 декабря,love,7
23, Не сдерживайте своего стремления к вербальному способу передачи информации. Изящество вашей манеры выражаться будет высоко оценено слушателями.,814,4 декабря,simple,7
