,text,length,date,type,index in posts,is_unique
0,"сегодня вам не следует чересчур много думать на тему вашей непосредственной трудовой деятельности. она будет делаться сама по себе, в независимости от вашего желания или нежелания. постарайтесь однако не пускать ее совсем уж на самотек: хотя бы как-то за ней приглядывайте.",273,11 декабря,business,0,True
1,"не стоит заходить за черту и перегибать палку. если ваш любимый человек не хочет вам о чем-то рассказывать, прячется от вас, закрывается – то не надо ни на чём настаивать. правды вы всё равно не добьётесь, а вот на грубость нарваться можете. и вы даже не представляете на какую!",278,11 декабря,love,0,True
2,"сегодняшний день может оказаться для вас чрезвычайно дорогостоящим. спасти от этой напасти сможет вовремя подоспевшая дружеская помощь, так что неплохо бы заранее заручиться чьей-либо поддержкой.",195,11 декабря,simple,0,True
3,"сегодня, прежде чем зарыться с головой в неотложные дела, порадуйтесь тем, что в этот день усердие будет вознаграждено. хорошо поработав, вы сумеете уйти далеко вперёд и оставить позади всех своих конкурентов. главное на этот день - не становиться зачинщиком споров и никого не провоцировать.",292,10 декабря,business,1,True
4,"сегодня ваш любимый человек всеми силами будет стараться отвлечь вас от какого-то важного дела, которому вы захотите себя посвятить целиком и полностью. поэтому либо вам придётся терпеть его периодические выходки, либо сразу подробно и доходчиво объяснить, почему вам такое положение вещей не нравится категорически.",316,10 декабря,love,1,True
5,"сделайте подарок сегодня. неважно кому, какой и по какому поводу.",65,10 декабря,simple,1,True
6,"сегодня вам предстоит сделать значительный вклад в историю вашей фирмы. возможно, то или иное ваше слово или дело окажутся настолько значительными, что перевернут с ног на голову весь бизнес-план и заставят ваше руководство шагать в другом направлении.",252,9 декабря,business,2,True
7,"сегодня вашему любимому человеку захочется поделиться с вами какой-то очень важной для него новостью или тайной. однако вам она не покажется такой уж важной, значимой или ошеломительной. постарайтесь, чтобы ваше истинное отношение к данной теме не обидело вашу половинку.",271,9 декабря,love,2,True
8,"сегодня вам очень полезна будет способность обобщать. если пытаться вникнуть во все то бесконечное количество мелких, но значимых компонентов картины по отдельности, можно и с ума сойти нечаянно.",195,9 декабря,simple,2,True
9,"если вы занимаетесь тем, что помогаете клиентам выбрать тот продукт, который наиболее соответствует их запросам (о какой бы области ни шла речь), то сегодня вам придется быть очень терпеливым: возможно возникнут затруднения с одним из клиентов, но, проявив максимум изобретательности, вы с ними справитесь.",306,8 декабря,business,3,True
