,text,length,date,type,index in posts
0," Если вы ещё не заявили о себе как о очень ценном и просто незаменимом работнике, то сегодняшний пусть загруженный, но поэтому очень продуктивный, день поможет вам с лихвой наверстать упущенное. Не робейте и старайтесь продемонстрировать свои лучшие профессиональные навыки.",907,11 декабря,business,0
1,"Сегодня вам вдруг очень захочется о ком-то заботиться. Скорее всего, вашей жертвой станет ваш любимый человек. Вашей нежности и заботы будет столько, что она обрушится на него как ведро воды. Причем либо ледяной, либо кипящей. Так что ему, пожалуй, не позавидуешь... Может быть, стоит подогреть или охладить?..",907,11 декабря,love,0
2," Сегодня не время быть эгоцентристом. Вам понадобится помощь окружающих, и отказываться от нее по каким бы то ни было причинам неразумно. Кроме того, неплохо было бы не забыть поблагодарить помощников.",907,11 декабря,simple,0
3," В этот день на Стрельцов нападет необыкновенная жажда деятельности. Вы можете стать настоящим наказанием для окружающих, постарайтесь поменьше их задевать.",692,10 декабря,business,1
4,"Сегодня вам стоит вспомнить о том, что трудности – это завуалированные возможности. Так что все неприятное, что в этот день произойдет между вами и вашей половинкой, пойдет лишь на благо вашим отношениям. Главное – извлечь правильные уроки из тех испытаний, которые поставит перед вами жизнь.",692,10 декабря,love,1
5," Сегодня не вы будете подчиняться законам природы - она будет подчиняться вашим. Сотворите что-нибудь хорошее, пожалуйста.",692,10 декабря,simple,1
6," Сегодня в процессе вашей трудовой деятельности вы столкнетесь с рядом трудностей, которые могут вас обескуражить и поколебать вашу уверенность в себе. Однако не стоит принимать их всерьез. В конце концов, вся наша жизнь не более чем игра, а уж к работе это относится чуть ли не в первую очередь.",832,9 декабря,business,2
7,"Не всякого друга следует воспринимать, как потенциального партнера — это, увы, один из наиболее досадных путей потери друзей. Воздержитесь от смены характера отношений - хотя бы сегодня. Назавтра вам в голову придут более трезвые мысли, сейчас просто день такой непростой.",832,9 декабря,love,2
8," Высказывайте свое мнение абсолютно искренне - это сегодня будет очень важно. Позвольте другим узнать то, что вы думаете о них и их деятельности.",832,9 декабря,simple,2
9," Сегодня ни от чего нельзя отказываться — именно то предложение, которое вы не захотите принять, и будет самым лучшим. Так что старайтесь использовать каждый шанс, сколь бы утомительно это ни было.",732,8 декабря,business,3
