,text,length,date,type,index in posts,is_unique
0,"сегодня вы можете почувствовать незащищенность и неуверенность в собственных силах. попробуйте проанализировать ситуацию и выяснить, что же так сильно выбило вас из колеи. принимая во внимание вашу уязвимость, постарайтесь избегать тех ситуаций, которые требуют проявления всех стальных черт характера. сейчас это для вас будет трудновато.",339,11 декабря,business,0,True
1,"вам звёзды рекомендуют сегодня больше работать. ну или хотя бы демонстрировать окружающим имитацию деятельности столь бурной, что у них бы отпало всякое желание приставать к вам со своими проблемами. прежде всего это касается именно членов семьи - они особенно активно будут посягать на ваше внимание.",303,11 декабря,love,0,True
2,"если сегодня вы почувствуете робость, или, того хуже решите, что вы чего-то недостойны - немедленно отбрасывайте эту мысль, ибо она от лукавого. единственное, что от вас сегодня потребуется - это уверенность в себе.",215,11 декабря,simple,0,True
3,"сегодня звезды рекомендуют вам заняться корректировкой или написанием вашего резюме. даже если работа у вас надежная и стабильная и никаких изменений вы не планируете, вам все равно следует пребывать в твердой уверенности: на рынке рабочей силы вы не потеряетесь в любом случае.",278,10 декабря,business,1,True
4,"сегодня ваш любимый человек признается в том, что ему, оказывается, никогда не нравилось в представителях противоположного пола какое-то качество, которое буйным цветом цветет в вас, и лишь вы заставили его посмотреть на это самое качество по-другому. можете быть польщены.",273,10 декабря,love,1,True
5,"сегодня лучшей инвестицией в дело собственного благополучия будет любое бескорыстное деяние. воздастся вам, конечно, не сразу, но когда-нибудь - непременно.",156,10 декабря,simple,1,True
6,"сегодня не слушайте советов, особенно от малознакомых людей, особенно если вам их нахваливал человек, которому вы мало доверяете. слушайте только голос собственного разума, он подскажет вам наилучший выход из ситуации, вот только решение, возможно, придет не сразу.",265,9 декабря,business,2,True
7,"посвятите этот день просмотру ваших совместных фотографий. это позволит вам не только вспомнить атмосферу вашего счастливого прошлого, но и понять, чего вам не хватает в настоящем. кстати, самую удачную можете сделать заставкой для рабочего стола: вашему любимому человеку это будет приятно.",291,9 декабря,love,2,True
8,"запаситесь парочкой хороших отмазок, сегодня вам, возможно, придется оправдываться. можно, конечно, попытаться объяснить, что претензии к вам не совсем обоснованны, однако в некоторых случаях проще и быстрее бывает демонстративно покаяться в грехах, а потом сделать все по-своему.",280,9 декабря,simple,2,True
9,"сегодня возможность начать с кем-то из коллег роман может негативно сказаться на вашей трудовой деятельности, однако если вы правильно расставите приоритеты, то одно другому вовсе мешать не будет. главное – задуматься о последствиях принятого решения.",251,8 декабря,business,3,True
