,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Сегодня не время быть эгоцентристом. Вам понадобится помощь окружающих, и отказываться от нее по каким бы то ни было причинам неразумно. Кроме того, неплохо было бы не забыть поблагодарить помощников.

Бизнес-гороскоп на 11 декабря 2019 года 
 Если вы ещё не заявили о себе как о очень ценном и просто незаменимом работнике, то сегодняшний пусть загруженный, но поэтому очень продуктивный, день поможет вам с лихвой наверстать упущенное. Не робейте и старайтесь продемонстрировать свои лучшие профессиональные навыки.

Любовный гороскоп на 11 декабря 2019 года
Сегодня вам вдруг очень захочется о ком-то заботиться. Скорее всего, вашей жертвой станет ваш любимый человек. Вашей нежности и заботы будет столько, что она обрушится на него как ведро воды. Причем либо ледяной, либо кипящей. Так что ему, пожалуй, не позавидуешь... Может быть, стоит подогреть или охладить?..",907,11 декабря
1,"Гороскоп на 10 декабря 2019 года
 Сегодня не вы будете подчиняться законам природы - она будет подчиняться вашим. Сотворите что-нибудь хорошее, пожалуйста.

Бизнес-гороскоп на 10 декабря 2019 года 
 В этот день на Стрельцов нападет необыкновенная жажда деятельности. Вы можете стать настоящим наказанием для окружающих, постарайтесь поменьше их задевать.

Любовный гороскоп на 10 декабря 2019 года
Сегодня вам стоит вспомнить о том, что трудности – это завуалированные возможности. Так что все неприятное, что в этот день произойдет между вами и вашей половинкой, пойдет лишь на благо вашим отношениям. Главное – извлечь правильные уроки из тех испытаний, которые поставит перед вами жизнь.",692,10 декабря
2,"Гороскоп на 9 декабря 2019 года 
 Высказывайте свое мнение абсолютно искренне - это сегодня будет очень важно. Позвольте другим узнать то, что вы думаете о них и их деятельности.

Бизнес-гороскоп на 9 декабря 2019 года 
 Сегодня в процессе вашей трудовой деятельности вы столкнетесь с рядом трудностей, которые могут вас обескуражить и поколебать вашу уверенность в себе. Однако не стоит принимать их всерьез. В конце концов, вся наша жизнь не более чем игра, а уж к работе это относится чуть ли не в первую очередь.

Любовный гороскоп на 9 декабря 2019 года
Не всякого друга следует воспринимать, как потенциального партнера — это, увы, один из наиболее досадных путей потери друзей. Воздержитесь от смены характера отношений - хотя бы сегодня. Назавтра вам в голову придут более трезвые мысли, сейчас просто день такой непростой.",832,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Сегодня лучше всего себя будут чувствовать люди, обладающие темпераментом айсберга. Не стоит кипятиться и вам. Постарайтесь обращать поменьше внимания на слова и действия окружающих.

Бизнес-гороскоп на 8 декабря 2019 года 
 Сегодня ни от чего нельзя отказываться — именно то предложение, которое вы не захотите принять, и будет самым лучшим. Так что старайтесь использовать каждый шанс, сколь бы утомительно это ни было.

Любовный гороскоп на 8 декабря 2019 года
Сегодня вам будет довольно трудно сдерживаться, чтобы не наговорить кучу глупостей. Вам сейчас кажется, что вы взорветесь, если всего этого не скажете, но на самом деле взорвутся ваши слушатели — и именно в результате ваших излияний.",732,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Постарайтесь отвлечься от всех проблем, включая самые мелкие и самые крупные. Не давайте использовать себя для перемещения тяжестей, как физических, так и духовных.

Бизнес-гороскоп на 7 декабря 2019 года 
 Сегодня велика вероятность полезных знакомств, которые благоприятно повлияют на ваш карьерный рост или хотя бы на боевой настрой. Вполне возможно, что уже завтра вы будете настолько воодушевлены, что будете готовы взбежать по служебной лестнице без чьей бы то ни было помощи.

Любовный гороскоп на 7 декабря 2019 года
Сегодня вам не стоит ничего обещать вашему любимому человеку. Все обещания будут не более чем пустыми словами, потому что вы сами не знаете, как все сложится уже через несколько минут, а ситуация может изменяться постоянно. Поэтому постарайтесь жить одним моментом.",825,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 Сегодня вами овладеет легкое безумие, которое, вопреки распространенному мнению, нисколько не приблизит вас к заветной цели. Так что, если не хотите, чтобы день пропал даром, постарайтесь свои порывы обуздать.

Бизнес-гороскоп на 6 декабря 2019 года 
 Сегодня звезды советуют потратить чуть больше денег, чем обычно, и купить большую коробку конфет, вскрыть ее в офисе и съесть дружным коллективом. Наверняка совместное поедание подобных вкусностей еще больше сплотит вас и мобилизует для решения новых актуальных проблем.

Любовный гороскоп на 6 декабря 2019 года
Сегодня вашему любимому человеку будет довольно просто понять ваши мотивы и намерения, поэтому даже не пытайтесь с ним хитрить и как-то его обмануть – все равно вас рано или поздно выведут на чистую воду, причем с поличным. Постарайтесь быть абсолютно искренним.",862,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Если жизнь от щедрот подкинула вам лимон, зачем есть его прямо так? Сделайте лимонад, и пускай вам завидуют менее удачливые обладатели более сладких и липких плодов.

Бизнес-гороскоп на 5 декабря 2019 года 
 Основное занятие на этот день — доделать то, что вы в последнее время откладывали. Дольше тянуть волынку не стоит. Если же вы чего-то сделать никак не успеваете — так честно и скажите.

Любовный гороскоп на 5 декабря 2019 года
Вам просто необходимы поддержка и забота. Очень обидно, если ваш любимый человек этого не понимает. Звезды надеются, что хотя бы намеки на него действуют. Или уж прямой текст на худой конец. Если же и так не получится, стоит задуматься, а тот ли рядом с вами человек и не тратите ли вы с ним время понапрасну.",779,5 декабря
7,"Гороскоп на 4 декабря 2019 года 
 Планируя какие-то дела на сегодняшний день, внесите поправку, которая позволила бы вам скользить по графику. Вам наверняка придется что-то спешно менять.

Бизнес-гороскоп на 4 декабря 2019 года 
 Сегодня вам стоит задуматься о путях вашего дальнейшего карьерного роста. Не то чтобы это как-то значительно повлияло на вашу рабочую судьбу, но сам процесс обдумывания будет весьма занимателен.

Любовный гороскоп на 4 декабря 2019 года
Главное, ни о чем сегодня не жалеть. Все, что будет, все должно быть. Все происходящее правильно и закономерно как в вашей личной судьбе, так и в судьбе вашего тандема. Так что вспомните вечное «все, что ни делается, все к лучшему», расслабьтесь и плывите по течению.",735,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Этот день может оказаться именно тем, который так приятно будет вспоминать долгими зимними вечерами, укутав ноги пледом. Проведите его с тем, кого любите.

Бизнес-гороскоп на 3 декабря 2019 года 
 Сегодня вам не рекомендуется спорить с начальством, даже если оно, на ваш взгляд, будет совершать грубейшие ошибки. Начальник всегда прав, пока он начальник, а в немилость к нему попадать вам сейчас вовсе не нужно.

Любовный гороскоп на 3 декабря 2019 года
Сегодня вы поймете, что вам требуется как можно больше времени проводить с вашим любимым человеком. Однако он может придерживаться другого мнения на этот счет, поэтому прежде чем назначить ему десять свиданий на один день, прислушайтесь к его точке зрения.",745,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Сегодня вас ждет некоторое событие, которое может показаться случайностью. Но это далеко не так. Просто вы не заметили его предпосылок.

Бизнес-гороскоп на 2 декабря 2019 года 
 В этот день звезды не рекомендуют вам проводить слишком много времени на солнце. По той или иной причине, это светило будет мешать вашей активной работе и настраивать отнюдь не на рабочий лад. Поэтому пасмурная погода и задернутые шторы окажутся вам только на руку.

Любовный гороскоп на 2 декабря 2019 года
Звёзды утверждают, что демонстрировать любимому человеку свою самодостаточность сегодня более чем неуместно. Может сделать соответствующие выводы и дать вам возможность сполна насладиться одиночеством. Впрочем, возможно, вы этого и добиваетесь…",765,2 декабря
