,text,length,date,type,index in posts,is_unique
0,"сегодня вам не придется долго уговаривать себя поработать: желание трудиться появится у вас совершенно неожиданно, спонтанно и неожиданно как для вас, так и для окружающих. возможно, оно станет последствием какого-то события, и не факт, что оно вас порадует.",258,11 декабря,business,0,True
1,"вы не можете объяснить себе и другим, почему вы любите этого человека. но ведь любите же! сегодня вы поймёте это особенно остро. впрочем, говорят, что если можешь сказать «почему» и «за что» – то это не любовь. так что не стоит так уж копаться в себе. просто любите!",266,11 декабря,love,0,True
2,"сегодня вы будете непоседой в лучшем смысле этого слова. вполне возможно, что кому-то достанется от вас за небрежность и нерасторопность, но в основном, ваше настроение не должно вызывать отрицательных эмоций ни у вас самого, ни у окружающих.",242,11 декабря,simple,0,True
3,"сегодня вы будете очень многое не понимать. что-то, происходящее во время рабочего процесса, будет недоступно вашему уровню логического мышления. оно будет отличаться от вашего понимания правильности примерно так же, как женская логика отличается от мужской.",258,10 декабря,business,1,True
4,"сегодня вам как никогда пригодится умение пожалеть. именно не посочувствовать, не понять, не принять, а пожалеть. ваш любимый человек будет очень в этом нуждаться. главное - не переусердствовать с ахами и вздохами, иначе это может в нем и раздражение вызвать.",259,10 декабря,love,1,True
5,"сегодня все вокруг вас будут смеяться. не нужно обижаться, они смеются не над вами, а с вами. у вас появятся новые друзья.",122,10 декабря,simple,1,True
6,"если вы пришли к заключению, что нынешнее место работы больше не представляет для вас интереса и что оно не способно позволить вам полностью раскрыть ваш потенциал, подождите некоторое время, не гоните коней! скоро вы поймете, что сейчас всё именно так, как вам нужно.",268,9 декабря,business,2,True
7,"семейным вам сегодня противопоказано заниматься рутинными домашними делами. хуже всего в этой ситуации придется семьям, состоящим исключительно из вас. хотя - это как посмотреть - вместе плюнуть на работу и отправиться развлекаться - это же чудесно. а грязная посуда - она подождёт.",292,9 декабря,love,2,True
8,"сегодня вы не будете особенно ранимы, а посему сможете без потерь воспринять суровую прозу жизни. только не пересказывайте никому, предварительно не уверившись в устойчивости слушателя.",185,9 декабря,simple,2,True
9,"сегодня звезды не рекомендуют вам обращать внимание на косые взгляды и недоброжелательные реплики. возможно, вам просто завидуют. но скорее всего, все это к вам отношения не имеет, а вы просто будете мнительны.",210,8 декабря,business,3,True
10,"сегодня ваш любимый человек будет задавать вам много разных интересных вопросов, на которые вам ответить будет вовсе не так просто, как хотелось бы. однако всё же постарайтесь удовлетворить его любопытство: интересно будет в итоге и вам, и ему. много нового узнаете!",266,8 декабря,love,3,True
11,"сегодня вам следует повнимательнее прислушиваться к тому, что вам говорят, и не стесняться признать собственную неправоту. никакой доблести в упрямстве нет.",156,8 декабря,simple,3,True
12,"ввиду того, что не за горами некое ответственное мероприятие, которое вряд ли будет гармонично сочетаться с прочими вашими делами, сегодняшний день стоит посвятить подбиранию разнообразных хвостов. похоже, что вскоре вам будет не до этого.",239,7 декабря,business,4,True
13,"сегодня вашему любимому человеку будет непросто понять ваши желания и намерения. они будут казаться ему нелогичными, неправильными и надуманными. постарайтесь донести до него их глубокий смысл, целесообразность и, главное, ваше к ним трепетное отношение.",254,7 декабря,love,4,True
14,"сегодня вы будете подобны фарфоровой вазе - тонки, изящны и очень хрупки. следует избегать любых ситуаций, чреватых конфликтом.",127,7 декабря,simple,4,True
15,"сегодня вам не захочется не только шевелиться, но и думать – и особенно на тему вашей работы. поэтому если вдруг таковая необходимость появится, справляться вы с нею будете с явной неохотой, а потому с низкой эффективностью. вряд ли стоит и пробовать.",251,6 декабря,business,5,True
