,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Прежде, чем вступать в беседу с малознакомым человеком, постарайтесь немного разузнать о нем. Возможно, это убережет вас от некоторых недоразумений.

Бизнес-гороскоп на 11 декабря 2019 года 
 Сегодня вам предстоит исследовательская работа, необходимая для того, чтобы хоть как-то сориентироваться в построении планов на будущее. Не вздумайте отлынивать — полагаться на авось крайне не рекомендуется.

Любовный гороскоп на 11 декабря 2019 года
В этот день звёзды не рекомендуют вам проводить много времени на улице, пусть даже и в обществе вашего любимого человека. Постарайтесь уединиться дома, в кафе, в кино или на худой конец в транспорте, общественном или частном. Так оно вернее будет и для вас, и для него.",748,11 декабря
1,"Гороскоп на 10 декабря 2019 года 
 Сегодняшний день может принести вам состояние беспокойства и неуверенности в себе. Вполне вероятно, что вы засомневаетесь, что поступаете правильно, хотя еще вчера были убеждены, что именно так и надо.

Бизнес-гороскоп на 10 декабря 2019 года 
 Перерывы на чай и кофе во время рабочего процесса очень плодотворно скажутся на его качестве. Поэтому не стесняйтесь хотя бы раз в два часа отрываться от ваших непосредственных обязанностей с целью выпить крепкой горячей и, по возможности, сладкой жидкости.

Любовный гороскоп на 10 декабря 2019 года
Сегодня на вас нападут вялость и апатия. Поэтому если ваша половинка вздумает фонтанировать идеями и хотеть от вас всего и немедленно, ничего хорошего у нее из этой затеи не выйдет. Лучше сразу ее предупредить о том, что даже пытаться вас расшевелить не стоит.",842,10 декабря
2,"Гороскоп на 9 декабря 2019 года 
 Вы склонны брать всю ответственность за происходящее на себя, и совершенно напрасно. Позвольте другим разделить с вами этот тяжкий груз.

Бизнес-гороскоп на 9 декабря 2019 года 
 Сегодня не торопитесь принимать важные и ответственные решения: вряд ли они приведут к желаемому результату. Больше вероятность того, что, напротив, чем больше вы будете стремиться к достижению цели, тем дальше от вас окажется эта цель. Постарайтесь всего добиться играючи.

Любовный гороскоп на 9 декабря 2019 года
Сегодня вашему любимому человеку не придется проводить много времени за решением ваших проблем, потому что вы вполне в состоянии будете решить их самостоятельно. Его задачей будет лишь подтолкнуть вас в правильном направлении, придать нужное ускорение вашим мыслям и движениям.",807,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Сегодня вам лучше не искать компании, у вас могут появиться трудности в общении с себе подобными. Придется удовольствоваться обществом телевизора.

Бизнес-гороскоп на 8 декабря 2019 года 
 Сегодня самый подходящий день для того, чтобы привести себя и свои мысли в порядок. На следующей неделе ни сил, ни времени у вас на это не будет, а упорядочение внутреннего мира весьма благоприятно скажется на качестве вашей работы. Поэтому будьте расслаблены и умиротворены.

Любовный гороскоп на 8 декабря 2019 года
Сегодня даже не старайтесь перечить вашему любимому человеку: своего не добьетесь, а ссоры будет не избежать. На таком обиженном много воды не увезешь, да и тишиной насладиться не удастся: обижаться на вас будут бурно и демонстративно. Так что проще согласиться со всеми доводами вашей половинки и предоставить ей полную свободу действий.",880,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Сегодня наитяжелейшей проблемой может стать решение вопроса о выборе цвета носового платка. Остальное затруднений вызывать не должно.

Бизнес-гороскоп на 7 декабря 2019 года
 Не стоит сегодня драматизировать ситуацию. Не принимайте никаких важных решений, сейчас вы слишком впечатлительны, чтобы мыслить адекватно. Лучше немного выждите и в скором времени вы увидите, что все проблемы оказались гораздо менее существенны, чем вы думали.

Любовный гороскоп на 7 декабря 2019 года
В вас и всём вашем семействе сегодня проснётся жажда деятельности. Если дело ограничится физической активностью — вам повезло, однако вы можете взяться и за разбор полетов. Этого имело бы смысл избежать.",718,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 Сегодня вам стоит уделить повышенное внимание своей внешности. Вам предстоит произвести впечатление, так пусть оно будет приятным во всех отношениях.

Бизнес-гороскоп на 6 декабря 2019 года 
 Сегодня вам не следует слишком серьезно относиться к тому, что происходит на ваших глазах. В конце концов, все это может еще десять раз перемениться, и ваши сегодняшние действия не возымеют никаких последствий, ни позитивных, ни негативных. Не стоит и бояться.

Любовный гороскоп на 6 декабря 2019 года
Сегодня вам стоит посвятить вместе с вашим любимым человеком время любованию природой, наслаждению свежим воздухом и восторгам по поводу того, что у природы нет плохой погоды. Постарайтесь не испортить эти волшебные минуты выяснением отношений.",774,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Привычные глазу лица и предметы вряд ли смогут разбудить ваше воображение сегодня. Вам требуется что-то новое. Инстинктивно ища это что-то, вы можете повести себя так, что многие удивятся.

Бизнес-гороскоп на 5 декабря 2019 года 
 Плодотворному дню могут помешать напряженные отношения с вашим подчиненным, так что вам придется проявить чудеса дипломатии, чтобы урегулировать сложившуюся ситуацию. Вам как человеку более опытному это не должно составить особого труда. Только продумайте все хорошенько.

Любовный гороскоп на 5 декабря 2019 года
Сегодня ваш день будет похож на длинный, добрый и радостный праздник. Праздник для вас и вашего любимого человека, который будет длиться, длиться и длиться, пока вам самим это не надоест. Хочется верить, что вы сможете продлить его на неопределенный срок и запомнить надолго.",855,5 декабря
7,"Гороскоп на 4 декабря 2019 года 
 Вам нужен кто-то, кто вдохновил бы вас на великие дела. В крайнем случае это может оказаться книжный или киношный персонаж, хотя это и маловероятно.

Бизнес-гороскоп на 4 декабря 2019 года 
 В этот день вам вновь предстоит выполнить ряд очень важных поручений. Сейчас вам необходимо заручиться поддержкой высокопоставленного благодетеля, и, скорее всего, именно на вас возложат большую часть ответственности в этом деле.

Любовный гороскоп на 4 декабря 2019 года
Сегодня вам без труда удастся нечто такое, что вам никогда просто не давалось. Например, познакомиться на улице, признаться любимому человеку в этом большом и светлом чувстве или расстаться с ним на веки вечные - как получится. Главное потом обо всем этом не жалеть.",764,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Сегодня вы вновь получите возможность приняться за когда-то отложенное дело. И, что самое интересное, оно пойдет.

Бизнес-гороскоп на 3 декабря 2019 года 
 Не торопитесь в тот день принимать важные и ответственные решения. Они, скорее всего, окажутся ошибочными и приедут к неприятным следствиям для вас, ваших коллег и сотрудников. Может быть, стоит расслабиться, отдохнуть и в подобном состоянии взвесить все за и против?

Любовный гороскоп на 3 декабря 2019 года
Сегодня постарайтесь тщательно рассчитать свое свободное время, желательно с точностью до минуты или даже до секунды, иначе проблем в личной жизни вам не миновать. Правда, они могут оказаться не такими и страшными, как вы могли себе представить, однако все равно приятного в них будет мало.",791,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Сегодня вам, возможно, придется от чего-то отказаться и откуда-то уйти. Расставание будет не слишком легким, но оно необходимо. Найдите в себе силы не показать своего огорчения по этому поводу.

Бизнес-гороскоп на 2 декабря 2019 года 
 Сегодняшний день для вас характеризуется максимумом делового общения, удачным проведением совещаний, конференций и публичных выступлений. Так что если решите приятно удивить коллег новыми интересными проектами и идеями, не тяните – начинайте прямо сегодня. Звезды обещают удачу.

Любовный гороскоп на 2 декабря 2019 года
Сегодня вашему любимому человеку будет непросто доказать себе необходимость того или иного действия. Ему было бы гораздо проще, если бы к его аргументам прибавились еще и ваши. Только они должны быть действительно убедительными и несокрушимыми, иначе грош им цена.",856,2 декабря
