,text,length,date,type,index in posts,is_unique
0,"если ваше начальство сегодня предложит вам отправиться в деловую поездку, соглашайтесь, не раздумывая, ибо любые командировки будут для вас сейчас очень успешными и смогут принести вам неплохой доход. ещё недавно вы были недовольным своим финансовым положением? теперь дела пойдут на поправку!",293,11 декабря,business,0,True
1,"в этот день вам стоит посоветоваться с вашими друзьями или старшими товарищами касательно того, как вам стоит вести себя дальше, что делать и как решать те или иные проблемы, возникшие во время ваших отношений с вашим любимым человеком. впрочем, не стоит доверять услышанному на сто процентов: итоговое решение все равно принимать вам.",335,11 декабря,love,0,True
2,"вы сегодня вполне можете стать вдохновителем всевозможных изменений. будьте осмотрительны, излагая очередную блистательную идею, слишком велика вероятность, что ее воплотят в жизнь без вашего ведома.",199,11 декабря,simple,0,True
3,"не торопитесь в этот день делать замечания вашему коллеге. он вполне может на них обидеться настолько крепко, что не будет с вами разговаривать еще недели две или три, а то и мстить вздумает. впрочем, вероятность мести невелика, а вот 10-15 рабочих дней провести в тишине и покое – это ли не счастье?",300,10 декабря,business,1,True
4,сегодня ваш любимый человек будет с самым обыденным видом делать самые настоящие чудеса и дарить их вам. постарайтесь не скрывать вашего восторга и всячески его демонстрировать вашему собственному волшебнику: от этого таланты в колдовстве повышаются.,250,10 декабря,love,1,True
5,вы счастливы сознанием способности помочь другим. воздух напоен ароматом благожелательности. день этот чреват началом дружбы или романа. ваша сила находится в вашей способности давать.,184,10 декабря,simple,1,True
6,"сегодня вам не стоит никуда торопиться, ибо если вы будете выполнять ваши непосредственные рабочие обязанности на скорость, наверняка упустите из виду пару-тройку важных мелочей, которые могут впоследствии сыграть решающую роль в вашем бизнесе.",244,9 декабря,business,2,True
7,"вам казалось, что вы знаете вашу половинку наизусть, она предсказуема на десять шагов вперед. сегодня вам придется пересмотреть свою точку зрения, причем кардинально. в этот день ваш любимый человек выкинет такое, что останется только диву даваться, откуда что взялось.",269,9 декабря,love,2,True
8,"сегодня в цене будут уши, готовые выслушать, понять, в нужный момент кивнуть и проявить безграничное сочувствие. берегитесь, они наверняка окажутся вашими.",155,9 декабря,simple,2,True
9,"сегодня следите за тем, что вы говорите, и уж тем более не произносите ваши мысли вслух, даже если вам кажется, что вас никто не слышит. любое неосторожное действие, да что там — звук, могут быть использованы против вас вашими недоброжелателями.",245,8 декабря,business,3,True
