,text,length,date,type,index in posts
0," Люди, которых вы считали своими друзьями, могут неожиданно подвести вас, причем именно тогда, когда вы будете очень нуждаться в их поддержке. Отвлечься от грустных мыслей и справиться со своими переживаниями вам поможет работа. Но нет худа без добра: вы сумеете, наконец, решить давно висящую мертвым грузом проблему.",877,11 декабря,business,0
1,"В этот день не стоит надеяться, что ваш любимый человек сам догадается, чего вы от него ждете и хотите, и предложит вам это с радостью и светлой улыбкой. Придется попросить его об этом, причем может статься так, что неоднократно. Если это не противоречит вашим принципам, разумеется.",877,11 декабря,love,0
2," У вас сегодня не будет ни малейшей причины для скуки или любого другого вида плохого настроения. Не то, чтобы все было так чудесно, просто некогда будет.",877,11 декабря,simple,0
3," Сегодня не стоит слишком полагаться на технику, она может вас подвести. Так что если вы накрепко завязаны на высокие технологии, обязательно продумайте запасной вариант. Особенно уязвимым местом будет связь.",767,10 декабря,business,1
4,"Сегодня ваши отношения с вашим любимым человеком будут напоминать маленький огонек: он будет греть едва-едва, но если засунуть в него руки – обожжёт. Его может задуть любой порыв ветра, но он может стать причиной самого настоящего пожара. Все зависит лишь от вашей заботы.",767,10 декабря,love,1
5," У вас столь далеко идущие цели, что не стоит откладывать радости жизни различной величины до лучших времен, т.е. до тех пор, пока вы их не достигнете. Развлекитесь.",767,10 декабря,simple,1
6," Не торопитесь сегодня делать выводы касательно будущего вашей карьеры. Данных у вас пока что маловато, да и нынешний день – не самый подходящий для подобных размышлений. Завтра можете обсудить сие с вашими коллегами и даже с начальством, а пока наслаждайтесь жизнью.",842,9 декабря,business,2
7,"Сегодня вашему любимому человеку не придётся вам долго объяснять очевидные вещи, потому что вы будете схватывать всё на лету. Однако можете ненароком схватить не то и не так, а значит, сделать ложные выводы и понять не те идеи. Будьте внимательны и аккуратны!",842,9 декабря,love,2
8," Сегодня рассудочная сторона вашего существа одержит полную победу над эмоциональной. Попытки осмыслить любое движение сердца никогда до добра не доводили, посему постарайтесь не переусердствовать.",842,9 декабря,simple,2
9," Сегодня вы открыты для всего нового. Любые, даже самые незначительные перемены вы в этот день воспримете как свежий глоток воздуха. А если ничего не происходит, то вам следует взять узды правления в свои руки и начинать активно действовать самостоятельно.",830,8 декабря,business,3
10,"В этот день звезды рекомендуют вам проявить внимание к родителям вашего любимого человека, причем по возможности искреннее и самое что ни на есть настоящее. Постарайтесь сделать все возможное для того, чтобы они стали немножко счастливее: тогда и вашей половинке будет светлее на душе.",830,8 декабря,love,3
11," Вам хочется и того, и другого, и третьего, и побольше. Однако, исходя из жизненного опыта человечества, получить все сразу не удастся. Выберите приоритетные направления.",830,8 декабря,simple,3
12," Поток важных дел и вихрь срочных поручений подхватит вас в этот день. Постарайтесь не потерять собранности и сконцентрироваться на делах. Не хватайтесь за всё сразу, распределите нагрузку, чтобы к концу дня не растерять остатки энергии. Она вам еще на грядущей неделе пригодится.",885,7 декабря,business,4
13,"Сегодня вы будете довольно долго ждать какого-то определённого действия от вашего любимого человека, однако, к сожалению, не дождётесь, ибо он даже не подумает о том, насколько вам это важно. Если вы, конечно, не намекнете ему на свои ожидания, желания и мечтания.",885,7 декабря,love,4
14," Сегодня вы можете оказаться в центре весьма пристального внимания окружающих. Выходя из дома, проверьте, в порядке ли ваш туалет, чтобы объектом внимания оказались вы сами, а не оторвавшийся карман или разноцветные носки.",885,7 декабря,simple,4
15," Принимать сегодня поспешные решения будет по крайней мере, не предусмотрительно. Сделайте все возможное для того, чтобы иметь хотя бы пять минут на тщательное обдумывание. Больше – лучше. Поспешишь – людей насмешишь, а в данном случае, еще и огорчишь.",779,6 декабря,business,5
16,"Если вы вдруг начали сомневаться в ваших чувствах (а сегодня это, увы, вполне возможно) – снимите с полки вашу любимую книгу о любви, которую вы в свое время перечитывали по два-три раза в год, а то и чаще. И вы удивитесь, насколько там все написано про вас! Вы все еще сомневаетесь?",779,6 декабря,love,5
17," Сегодня вам придется много говорить, утешая кого-то или наставляя на путь истинный. Существует опасность, что вы увлечетесь.",779,6 декабря,simple,5
18," Сегодня ваша работы будет мешать вашей личной жизни, поэтому лучше вашего любимого человека предупредить о такой неприятности заранее, дабы он не слишком рассчитывал на эти день и вечер. Постарайтесь сделать все возможное для того, чтобы все же уделить вашей половинке несколько часов.",825,5 декабря,business,6
19,"Этот день принесет вам множество сюрпризов, связанных с вашей личной жизнью. Некоторые из них сюрпризами назвать будет довольно сложно: все-таки их можно было логически предугадать. Однако некоторые повергнут вас в самый настоящий ментальный ступор. Впрочем, скорее приятный, нежели неприятный.",825,5 декабря,love,6
20," Вы все обдумали накануне, по крайней мере должны были это сделать. Теперь действуйте, только не очень агрессивно, пожалуйста.",825,5 декабря,simple,6
