,text,length,date,type,index in posts
0," Сегодня вам не придется долго уговаривать себя поработать: желание трудиться появится у вас совершенно неожиданно, спонтанно и неожиданно как для вас, так и для окружающих. Возможно, оно станет последствием какого-то события, и не факт, что оно вас порадует.",259,11 декабря,business,0
1,"Вы не можете объяснить себе и другим, почему вы любите этого человека. Но ведь любите же! Сегодня вы поймёте это особенно остро. Впрочем, говорят, что если можешь сказать «почему» и «за что» – то это не любовь. Так что не стоит так уж копаться в себе. Просто любите!",266,11 декабря,love,0
2," Сегодня вы будете непоседой в лучшем смысле этого слова. Вполне возможно, что кому-то достанется от вас за небрежность и нерасторопность, но в основном, ваше настроение не должно вызывать отрицательных эмоций ни у вас самого, ни у окружающих.",243,11 декабря,simple,0
3," Сегодня вы будете очень многое не понимать. Что-то, происходящее во время рабочего процесса, будет недоступно вашему уровню логического мышления. Оно будет отличаться от вашего понимания правильности примерно так же, как женская логика отличается от мужской.",259,10 декабря,business,1
4,"Сегодня вам как никогда пригодится умение пожалеть. Именно не посочувствовать, не понять, не принять, а пожалеть. Ваш любимый человек будет очень в этом нуждаться. Главное - не переусердствовать с ахами и вздохами, иначе это может в нем и раздражение вызвать.",259,10 декабря,love,1
5," Сегодня все вокруг вас будут смеяться. Не нужно обижаться, они смеются не над вами, а с вами. У вас появятся новые друзья.",123,10 декабря,simple,1
6," Если вы пришли к заключению, что нынешнее место работы больше не представляет для вас интереса и что оно не способно позволить вам полностью раскрыть ваш потенциал, подождите некоторое время, не гоните коней! Скоро вы поймете, что сейчас всё именно так, как вам нужно.",269,9 декабря,business,2
7,"Семейным Водолеям сегодня противопоказано заниматься рутинными домашними делами. Хуже всего в этой ситуации придется семьям, состоящим исключительно из Водолеев. Хотя - это как посмотреть - вместе плюнуть на работу и отправиться развлекаться - это же чудесно. А грязная посуда - она подождёт.",292,9 декабря,love,2
8," Сегодня вы не будете особенно ранимы, а посему сможете без потерь воспринять суровую прозу жизни. Только не пересказывайте никому, предварительно не уверившись в устойчивости слушателя.",186,9 декабря,simple,2
9," Сегодня звезды не рекомендуют вам обращать внимание на косые взгляды и недоброжелательные реплики. Возможно, вам просто завидуют. Но скорее всего, все это к вам отношения не имеет, а вы просто будете мнительны.",211,8 декабря,business,3
