,text,length,date,type,index in posts
0,"Звезды уготовили вам сегодня непростой и насыщенный день, так что не надейтесь, что сможете просто дождаться вечера, когда можно будет уйти домой. Сегодня возможны конфликты с начальником, но старайтесь уже научиться переносить их с долей философского подхода, ведь вы всегда найдете компромисс.",850,11 декабря,business,0
1,"Сегодня вашему любимому человеку будет непонятно, почему вы продолжаете так близко с ним общаться. Он искренне будет верить в то, что в нем нет ничего особенного и заслуживающего столь пристального внимания такого потрясающего человека, как вы. Постарайтесь его успокоить.",850,11 декабря,love,0
2," Ваша честность обезоруживает. Более того, она смущает людей и ставит их в неловкое положение. Подумайте, действительно ли вы хотите достичь именно этого эффекта.",850,11 декабря,simple,0
3, Сегодня работа для вас окажется лучше любого отдыха: вы будете выполнять ее с огромным удовольствием и желанием продолжать в том же духе как можно дольше. Постарайтесь однако не увлекаться: ваши друзья и близкие наверняка тоже жаждут вашего внимания и могут даже обидеться из-за его недостатка.,875,10 декабря,business,1
4,"Сегодня сбудутся все ваши самые смелые мечты и желания, стоит только поверить в это и очень захотеть подобного исхода событий. Поэтому звезды рекомендуют пожелать что-нибудь хорошее в области личной жизни, то есть для себя и вашего любимого человека. И ждать, когда звезда упадет на ладошку.",875,10 декабря,love,1
5," Эгоизм сегодня вам противопоказан, даже в минимальных размерах. Впрочем, вам не привыкать целиком и полностью отдавать себя на растерзание окружающим с их проблемами.",875,10 декабря,simple,1
6," Сегодня у вас намечается очень продуктивный рабочий день. С раннего утра вас ожидают экстренные совещания и срочные дела, не терпящие отлагательств. Но не паникуйте, сохраняйте хладнокровие, и успех вам гарантирован. В самой сложной ситуации вы сумеете не растеряться и заслужите похвалу от начальства.",890,9 декабря,business,2
7,"Сегодня вашему любимому человеку не захочется каким бы то ни было образом ударить в грязь лицом перед вами. Он будет делать всё возможное для того, чтобы предстать перед вами во всей своей красе, а значит, вашей непосредственной задачей будет оценить эту красу, чтобы она не пропала зря.",890,9 декабря,love,2
8," Будучи уверены в собственной правоте, вы сегодня можете натворить рекордное количество глупостей. Прислушайтесь к советам окружающих, возможно, они окажутся не такими уж дурацкими.",890,9 декабря,simple,2
9," Если вы ещё не причислили себя к людям, ведущим ночной образ жизни, то сегодня вы сможете испытать в полной мере все прелести времяпрепровождения полуночников. Дневная суета и рабочие проблемы съедят всё светлое время суток, но открывшееся второе дыхание поможет вам ночью просто великолепно провести время.",898,8 декабря,business,3
10,"В этот день важную роль в вашей личной жизни сыграет знание иностранных языков и иностранной культуры. При этом вовсе не обязательно, что вам придется контактировать с иностранцами. Вполне возможно, вы своей образованностью просто привлечете к себе внимание действительно достойного вас человека.",898,8 декабря,love,3
11," Внимательно присмотритесь к тому, чем заняты окружающие, прежде чем кидаться им на помощь. Вам следует экономнее расходовать свою энергию - сегодня ее будет не слишком много.",898,8 декабря,simple,3
12," Сегодня благоприятный день для того, чтобы усовершенствовать ваши рабочие навыки: например, записаться на какой-нибудь тренинг, сходить на тематическую конференцию, имеющую непосредственное отношение к вашей трудовой деятельности, или хотя бы серьезные книги прочитать.",800,7 декабря,business,4
13,"В этот день ваше счастье, в том числе и в вашей личной жизни, будет зависеть целиком и полностью от вас. Если вы сами за него бороться не будете, никто за вас этим неблагодарным делом не займется. Придется как всегда взять всю ответственность на свои плечи. Непросто, но необходимо.",800,7 декабря,love,4
14," Сегодня вы можете получить массу самых заманчивых обещаний. Не ото всех стоит отказываться, но в каждом следует поискать подвох.",800,7 декабря,simple,4
15," Сегодня ваш козырь - это нестандартное мышление и новизна в подходе к решению проблем. Вы будете даже сами удивлены тому, какие идеи сегодня родятся в вашем воображении. Удивляйте всех окружающих, пусть знают, с кого брать пример! И не бойтесь экспериментировать.",858,6 декабря,business,5
