,text,length,date
0,"Гороскоп на 11 декабря 2019 года 
 Сегодня вы будете непоседой в лучшем смысле этого слова. Вполне возможно, что кому-то достанется от вас за небрежность и нерасторопность, но в основном, ваше настроение не должно вызывать отрицательных эмоций ни у вас самого, ни у окружающих.

Бизнес-гороскоп на 11 декабря 2019 года 
 Сегодня вам не придется долго уговаривать себя поработать: желание трудиться появится у вас совершенно неожиданно, спонтанно и неожиданно как для вас, так и для окружающих. Возможно, оно станет последствием какого-то события, и не факт, что оно вас порадует.

Любовный гороскоп на 11 декабря 2019 года
Вы не можете объяснить себе и другим, почему вы любите этого человека. Но ведь любите же! Сегодня вы поймёте это особенно остро. Впрочем, говорят, что если можешь сказать «почему» и «за что» – то это не любовь. Так что не стоит так уж копаться в себе. Просто любите!",890,11 декабря
1,"Гороскоп на 10 декабря 2019 года 
 Сегодня все вокруг вас будут смеяться. Не нужно обижаться, они смеются не над вами, а с вами. У вас появятся новые друзья.

Бизнес-гороскоп на 10 декабря 2019 года
 Сегодня вы будете очень многое не понимать. Что-то, происходящее во время рабочего процесса, будет недоступно вашему уровню логического мышления. Оно будет отличаться от вашего понимания правильности примерно так же, как женская логика отличается от мужской.
 
Любовный гороскоп на 10 декабря 2019 года
Сегодня вам как никогда пригодится умение пожалеть. Именно не посочувствовать, не понять, не принять, а пожалеть. Ваш любимый человек будет очень в этом нуждаться. Главное - не переусердствовать с ахами и вздохами, иначе это может в нем и раздражение вызвать.",763,10 декабря
2,"Гороскоп на 9 декабря 2019 года 
 Сегодня вы не будете особенно ранимы, а посему сможете без потерь воспринять суровую прозу жизни. Только не пересказывайте никому, предварительно не уверившись в устойчивости слушателя.

Бизнес-гороскоп на 9 декабря 2019 года 
 Если вы пришли к заключению, что нынешнее место работы больше не представляет для вас интереса и что оно не способно позволить вам полностью раскрыть ваш потенциал, подождите некоторое время, не гоните коней! Скоро вы поймете, что сейчас всё именно так, как вам нужно.

Любовный гороскоп на 9 декабря 2019 года
Семейным Водолеям сегодня противопоказано заниматься рутинными домашними делами. Хуже всего в этой ситуации придется семьям, состоящим исключительно из Водолеев. Хотя - это как посмотреть - вместе плюнуть на работу и отправиться развлекаться - это же чудесно. А грязная посуда - она подождёт.",866,9 декабря
3,"Гороскоп на 8 декабря 2019 года 
 Сегодня вам следует повнимательнее прислушиваться к тому, что вам говорят, и не стесняться признать собственную неправоту. Никакой доблести в упрямстве нет.

Бизнес-гороскоп на 8 декабря 2019 года 
 Сегодня звезды не рекомендуют вам обращать внимание на косые взгляды и недоброжелательные реплики. Возможно, вам просто завидуют. Но скорее всего, все это к вам отношения не имеет, а вы просто будете мнительны.

Любовный гороскоп на 8 декабря 2019 года
Сегодня ваш любимый человек будет задавать вам много разных интересных вопросов, на которые вам ответить будет вовсе не так просто, как хотелось бы. Однако всё же постарайтесь удовлетворить его любопытство: интересно будет в итоге и вам, и ему. Много нового узнаете!",753,8 декабря
4,"Гороскоп на 7 декабря 2019 года 
 Сегодня вы будете подобны фарфоровой вазе - тонки, изящны и очень хрупки. Следует избегать любых ситуаций, чреватых конфликтом.

Бизнес-гороскоп на 7 декабря 2019 года 
 Ввиду того, что не за горами некое ответственное мероприятие, которое вряд ли будет гармонично сочетаться с прочими вашими делами, сегодняшний день стоит посвятить подбиранию разнообразных хвостов. Похоже, что вскоре вам будет не до этого.

Любовный гороскоп на 7 декабря 2019 года
Сегодня вашему любимому человеку будет непросто понять ваши желания и намерения. Они будут казаться ему нелогичными, неправильными и надуманными. Постарайтесь донести до него их глубокий смысл, целесообразность и, главное, ваше к ним трепетное отношение.",741,7 декабря
5,"Гороскоп на 6 декабря 2019 года 
 Сегодня идти на какой-либо риск, даже самый минимальный, для вас практически равносильно самоубийству. Переходите дорогу в положенном месте, пожалуйста.

Бизнес-гороскоп на 6 декабря 2019 года 
 Сегодня вам не захочется не только шевелиться, но и думать – и особенно на тему вашей работы. Поэтому если вдруг таковая необходимость появится, справляться вы с нею будете с явной неохотой, а потому с низкой эффективностью. Вряд ли стоит и пробовать.

Любовный гороскоп на 6 декабря 2019 года
Водолеям сегодня лучше всего не суетиться и не проявлять инициативу - все проблемы (если они есть) должны решиться сами собой. Нынче следует проявить невозмутимость (пусть и мнимую), причем особенно это важно будет для молодых людей, чье сердце занято еще не разделенной любовью.",803,6 декабря
6,"Гороскоп на 5 декабря 2019 года 
 Сужая область своей деятельности вы, возможно, делаете ошибку. В столь тесные рамки не впишитесь ни вы сами, ни ваша фантазия.

Бизнес-гороскоп на 5 декабря 2019 года 
 Сегодня вам предстоит довольно долго выяснять с вашим начальником, кто же из вас прав, и чей способ решения вставшей перед вашей компанией проблемы является оптимальным, эффективным и легко выполнимым. Постарайтесь быть объективны и здраво оценивать как ваши, так и его предложения.

Любовный гороскоп на 5 декабря 2019 года
В этот день вы будете чрезвычайно заняты. Настолько, что ваш день будет расписан по часам и минутам, и любое внеплановое действие станет подобно настоящей катастрофе. Поэтому звёзды рекомендуют включить в ваш план личную жизнь, иначе ваш любимый человек вполне может решить, что он вам больше не нужен.",831,5 декабря
7,"Гороскоп на 4 декабря 2019 года 
 Сегодняшний день может показаться вашей деятельной натуре отчаянно скучным. Но прежде чем начинать ныть или, того хуже, громогласно жаловаться на злую судьбу, подумайте, не лучше ли сидеть спокойно, чем бегать как ошпаренному от одной неприятности к другой.

Бизнес-гороскоп на 4 декабря 2019 года 
 Сегодня вам будет довольно трудно сосредоточиться на работе. Вроде и переутомиться не должны были. Видимо, вам просто не хватает драйва — будь ситуация более напряженной, вам было бы проще втянуться. В принципе, проблемы нетрудно довести до состояния крайней срочности...

Любовный гороскоп на 4 декабря 2019 года
Сегодня ваш любимый человек будет необычайно легок на подъем и с удовольствием поддержит любой ваш самый безумный план, особенно если ему этот самый план понравится. Впрочем, подобной легкостью лучше не злоупотреблять: мало ли чем она аукнется завтра.",900,4 декабря
8,"Гороскоп на 3 декабря 2019 года 
 Сегодняшний день не должен принести никаких случайностей. Если что-то покажется вам неожиданным, значит, вы проглядели предпосылки этого события.

Бизнес-гороскоп на 3 декабря 2019 года 
 Вы можете получить совершенно нелепый с вашей точки зрения совет по деловым вопросам. Не торопитесь высмеивать советчика — он вполне может оказаться прав. Лучше обдумайте его предложение. Оно странное, но небессмысленное.

Любовный гороскоп на 3 декабря 2019 года
Скорость вашего языка, увы, будет значительно превышать сегодня скорость вашей мысли. С одной стороны, это хорошо: наконец-то ваши близкие узнают то, что вы о них действительно думаете. Но с другой стороны, так уж ли вам надо, чтобы ваши симпатии и антипатии стали явью?",757,3 декабря
9,"Гороскоп на 2 декабря 2019 года 
 Сегодня, оказавшись в меру теплой и душевной компании, вы внезапно почувствуете в себе дар рассказчика, достойный славы лучших скальдов древности. Если же компании не случится, приходящие в вашу голову образы стоит запечатлеть на бумаге, жалко будет, если пропадут.

Бизнес-гороскоп на 2 декабря 2019 года 
 Сегодня в рабочей обстановке может возникнуть некая нетривиальная ситуация, которая вас может смутить и даже выбить из колеи на некоторое время. Однако не стоит чересчур зацикливаться на случившемся. Зажмурьте глаза, досчитайте до десяти и смело идите в бой.

Любовный гороскоп на 2 декабря 2019 года
В этот день для вас главное – сохранять спокойствие и не выйти в стратегический момент из себя. Особенно актуально это будет в том, что касается ваших отношений с вашим любимым человеком. Вспомните советы мудрого Карлсона и повторяйте для себя в самые трудные минуты, что дело-то всё житейское...",940,2 декабря
10,"Гороскоп на 1 декабря 2019 года 
 Измените то, что, по вашему мнению, требует изменения, но не уходите далеко. Как бы оно не приобрело первоначальный вид как только вы отвернетесь.

Бизнес-гороскоп на 1 декабря 2019 года 
 День, по-видимому, будет связан с многочисленными поездками. И лучше бы вам от этого не отлынивать - если вы умудритесь провести его, не сходя с места, многие возможности окажутся для вас потеряны.

Любовный гороскоп на 1 декабря 2019 года
Сегодня вы услышите от вашего любимого человека то, чего услышать никак не ожидали. Он покажет себя с совершенно не знакомой вам стороны. Что может вас даже несколько испугать или хотя бы заставить насторожиться. Постарайтесь сделать максимум выводов из произошедшего.",732,1 декабря
11,"Гороскоп на 30 ноября 2019 года 
 Ваших собственных ресурсов сегодня будет не хватать, и вам потребуется стимуляция. Флаг вам в руки, но не увлекайтесь.

Бизнес-гороскоп на 30 ноября 2019 года 
 Если у вас нет возможности каждый раз обращаться за советом к более компетентному в данном вопросе человеку, то попробуйте научиться сами оценивать ваш труд со стороны. Отвлекитесь на какое-то время, потом снова вернитесь к своей работе. Скорее всего, вы увидите, в чем были неправы.

Любовный гороскоп на 30 ноября 2019 года
Сегодня до вас дойдет, что многое из того, что вы предпринимаете в личной жизни, вы делаете напрасно. Тому, кто вам небезразличен, ваши усилия не приносят никакой пользы, да и удовольствия от них тоже немного. Из чего следует логичный вывод, что вам следует тратить свою энергию на что-то более обдуманное.",828,30 ноября
12,"Гороскоп на 29 ноября 2019 года 
 Чрезмерная симпатия к кому-либо может привести к тому, что вы дадите этому человеку слишком много. Будьте разумны.

Бизнес-гороскоп на 29 ноября 2019 года 
 Сегодня каждый пункт нового договора обговорите с юристом, не пожалейте на это важное дело ни сил, ни времени. Не оставляйте ни единой неточности: лучше вы сейчас уделите этому несколько часов, чем потом понесете убытки и будете пытаться снова уладить все ошибки.

Любовный гороскоп на 29 ноября 2019 года
Не стесняйтесь попросить у вашего любимого человека помощи. В этом нет ничего зазорного и этим вы не продемонстрируете вашу слабость и беспомощность. Просто в данной ситуации вам в одиночку будет справиться гораздо сложнее, нежели вместе. В конце концов, вы близкие друг другу люди…",780,29 ноября
13,"Гороскоп на 28 ноября 2019 года 
 Сегодня у вас не будет никакой необходимости раскрывать свои карты. А если вы собрались сделать это добровольно - подождите, еще не время.

Бизнес-гороскоп на 28 ноября 2019 года 
 Сегодня внимательно отнеситесь к своему настроению: его поведение у вас, как известно, не поддается объяснению с точки зрения логики. Слишком резкие переходы от уныния к радости в этот день могут сослужить вам плохую службу, ведь вам неизвестно, как расценит такое поведение начальник.

Любовный гороскоп на 28 ноября 2019 года
Сегодня вашему любимому человеку будет трудно совладать со своими чувствами, поэтому вам следует быть готовым к тому, что в любой момент рядом с вами может произойти маленький ядерный взрыв, и взрывной волной отбросит на неизвестное расстояние в первую очередь вас.",809,28 ноября
14,"Гороскоп на 27 ноября 2019 года 
 Сегодня у вас может выйти спор с Матерью-природой. Берегитесь солнца, оно будет к вам неласково.

Бизнес-гороскоп на 27 ноября 2019 года 
 Не засиживайтесь на одном месте — этот день вам следует провести в движении. И пусть оно со стороны напоминает броуновское, для вас оно будет наполнено глубоким смыслом. Ибо сидя тупеют.

Любовный гороскоп на 27 ноября 2019 года
У вас на душе серо и муторно. Поэтому вся ваша семья, и ваша половинка в первую очередь, ходит на цыпочках, чтобы не спровоцировать очередное извержение вулкана. Постарайтесь держать себя в руках и выяснить для себя, чем обусловлены столь мрачные настроения и что в создавшейся ситуации можно исправить.",706,27 ноября
15,"Гороскоп на 26 ноября 2019 года
 Приготовьтесь пожинать плоды того, что посеяли на прошлой неделе. Начинать ли после этого новую посевную - решать вам. Выпейте перед сном чашку очень полезного зеленого чая.
 
Бизнес-гороскоп на 26 ноября 2019 года 
 В целом, день ожидается очень гармоничным и продуктивным, вы сможете разрешить те вопросы, над которым долго бились, силясь найти самое выгодное решение. Ваш начальник отметит ваши старания, так что можете порадоваться: вы снова докажете, что вы отличный сотрудник.

Любовный гороскоп на 26 ноября 2019 года
Сегодня вашему любимому человеку захочется всего и сразу, причем одновременно. Поэтому либо он проявит чудеса комбинаторики, и у него все получится, либо именно вам придется выбирать приоритетные направления в его желаниях и помогать ему в их реализации.",813,26 ноября
16,"Гороскоп на 25 ноября 2019 года 
 Прислушайтесь к тишине между словами, в ней таится значительно больший смысл, нежели в них самих. С вами сегодня попытаются связаться и передать информацию более чем необычным способом.

Бизнес-гороскоп на 25 ноября 2019 года 
 Начало дня будет изобиловать запутанными проблемами в сфере человеческих взаимоотношений. Постарайтесь не вляпаться в интригу — сами вы никакого профита с этого не получите, а головная боль и прочие неприятности гарантированы.

Любовный гороскоп на 25 ноября 2019 года
Не стоит сегодня стесняться близкого вам человека. Да, в вас есть изъяны, да и у кого их нет, однако раз ваша половинка любит вас, значит и их обязательно полюбит или хотя бы примет. Не стоит всю жизнь пытаться стоять на цыпочках: однажды ноги могут устать. Лучше сразу идти в свое счастье полной стопой…",836,25 ноября
